family,case,method,measurement,lr_evaluations,hr_evaluations,total_evaluations,handoff_step,refinement_steps,reschedule_mode,gpu,repeats,elapsed_mean_s,elapsed_std_s,elapsed_median_s,inference_mean_s,inference_std_s,peak_memory_gib,peak_memory_mean_gib,quality_metric,quality_value,quality_components,vbench_source,command
wan50,full_hr50,native,cold_start_single_video_end_to_end,0,50,50,,,canonical,0,5,243.0097825486213,9.416004025789679,246.8621498271823,243.0097825486213,9.416004025789679,26.1728515625,26.1728515625,vbench_custom_quality5_mean,0.8283636464517838,"{""aesthetic_quality"": 0.5949257165193558, ""background_consistency"": 0.9696078491210938, ""imaging_quality"": 0.6311151439996414, ""motion_smoothness"": 0.9847721118386369, ""subject_consistency"": 0.9613974107801915}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1 --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/full_hr50.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/full_hr50 --name_prefix full_hr50 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,lightx2v_cr40,lightx2v,cold_start_single_video_end_to_end,40,10,50,40,,canonical,0,5,112.78362071178853,3.603910968863017,111.90091665834188,112.78362071178853,3.603910968863017,26.4658203125,26.4658203125,vbench_custom_quality5_mean,0.7781163055468754,"{""aesthetic_quality"": 0.5531150609254837, ""background_consistency"": 0.9591583251953125, ""imaging_quality"": 0.4810966877878448, ""motion_smoothness"": 0.9754207557109531, ""subject_consistency"": 0.9217906981147825}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_clean_interp_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/lightx2v_cr40.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/lightx2v_cr40 --name_prefix lightx2v_cr40 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,lightx2v_cr45,lightx2v,cold_start_single_video_end_to_end,45,5,50,45,,canonical,0,5,93.74533977098763,1.0239776376857586,94.04327988810837,93.74533977098763,1.0239776376857586,26.8173828125,26.8173828125,vbench_custom_quality5_mean,0.7677612322724384,"{""aesthetic_quality"": 0.5267514735460281, ""background_consistency"": 0.95986083984375, ""imaging_quality"": 0.4542479305973759, ""motion_smoothness"": 0.9753204800520339, ""subject_consistency"": 0.9226254373230041}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_clean_interp_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/lightx2v_cr45.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/lightx2v_cr45 --name_prefix lightx2v_cr45 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,lightx2v_cr48,lightx2v,cold_start_single_video_end_to_end,48,2,50,48,,canonical,0,5,83.03601323850452,1.279217240981775,83.43324331194162,83.03601323850452,1.279217240981775,26.2509765625,26.2509765625,vbench_custom_quality5_mean,0.7640876847329612,"{""aesthetic_quality"": 0.49471441805362704, ""background_consistency"": 0.9619265747070312, ""imaging_quality"": 0.46832642186718226, ""motion_smoothness"": 0.9755165606946423, ""subject_consistency"": 0.9199544483423233}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_clean_interp_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/lightx2v_cr48.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/lightx2v_cr48 --name_prefix lightx2v_cr48 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,talh40,talh,cold_start_single_video_end_to_end,40,10,50,40,,canonical,0,5,120.86471737362444,3.1761381837639204,120.37393410131335,120.86471737362444,3.1761381837639204,26.2548828125,26.2548828125,vbench_custom_quality5_mean,0.809830280689221,"{""aesthetic_quality"": 0.5945104956626892, ""background_consistency"": 0.9594680786132812, ""imaging_quality"": 0.5882910485091033, ""motion_smoothness"": 0.9797514623397436, ""subject_consistency"": 0.9271303183212877}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_tail_skip_lora_clean_resizer_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/talh40.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/talh40 --name_prefix talh40 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,talh45,talh,cold_start_single_video_end_to_end,45,5,50,45,,canonical,0,5,99.04832976087928,1.7197738513988112,98.80490557849407,99.04832976087928,1.7197738513988112,25.9814453125,25.9814453125,vbench_custom_quality5_mean,0.8079196316471121,"{""aesthetic_quality"": 0.5803168714046478, ""background_consistency"": 0.9584420776367187, ""imaging_quality"": 0.5976831292164178, ""motion_smoothness"": 0.9795687867254272, ""subject_consistency"": 0.9235872932523489}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_tail_skip_lora_clean_resizer_bridge --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/talh45.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/talh45 --name_prefix talh45 --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,full_lr50_stage2_0hr,endpoint,cold_start_single_video_end_to_end,50,0,50,50,0,lowest_noise_hr_suffix,0,5,82.27606333456933,1.2991218461573903,82.47321514412761,82.27606333456933,1.2991218461573903,25.9384765625,25.9384765625,vbench_custom_quality5_mean,0.796468739535193,"{""aesthetic_quality"": 0.5599341124296189, ""background_consistency"": 0.9506265258789063, ""imaging_quality"": 0.5711031588801632, ""motion_smoothness"": 0.9791095907700686, ""subject_consistency"": 0.9215703097172081}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_full_lr_stage2_k_hr --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/full_lr50_stage2_0hr.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/full_lr50_stage2_0hr --name_prefix full_lr50_stage2_0hr --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,full_lr50_stage2_1hr,endpoint,cold_start_single_video_end_to_end,50,1,51,50,1,lowest_noise_hr_suffix,0,5,85.30401315465569,1.3074742975420284,85.59744491241872,85.30401315465569,1.3074742975420284,26.9541015625,26.9541015625,vbench_custom_quality5_mean,0.8009272949279873,"{""aesthetic_quality"": 0.5710126638412476, ""background_consistency"": 0.9545425415039063, ""imaging_quality"": 0.5731578197126036, ""motion_smoothness"": 0.9799784494552212, ""subject_consistency"": 0.9259450001269579}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_full_lr_stage2_k_hr --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/full_lr50_stage2_1hr.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/full_lr50_stage2_1hr --name_prefix full_lr50_stage2_1hr --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,full_lr50_stage2_2hr,endpoint,cold_start_single_video_end_to_end,50,2,52,50,2,lowest_noise_hr_suffix,0,5,88.57962772659957,1.3416494007916802,88.07546628639102,88.57962772659957,1.3416494007916802,26.4462890625,26.4462890625,vbench_custom_quality5_mean,0.8035533137269656,"{""aesthetic_quality"": 0.5795637726783752, ""background_consistency"": 0.95734130859375, ""imaging_quality"": 0.5746388320216427, ""motion_smoothness"": 0.9790279752724185, ""subject_consistency"": 0.9271946800686419}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_full_lr_stage2_k_hr --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/full_lr50_stage2_2hr.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/full_lr50_stage2_2hr --name_prefix full_lr50_stage2_2hr --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
wan50,full_lr50_stage2_5hr,endpoint,cold_start_single_video_end_to_end,50,5,55,50,5,lowest_noise_hr_suffix,0,5,99.39662919305265,1.216700728389931,98.88017637841403,99.39662919305265,1.216700728389931,26.7001953125,26.7001953125,vbench_custom_quality5_mean,0.8007262330349283,"{""aesthetic_quality"": 0.578385454416275, ""background_consistency"": 0.9504556274414062, ""imaging_quality"": 0.5739489356735606, ""motion_smoothness"": 0.9754161173709452, ""subject_consistency"": 0.925425030272454}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json,/opt/conda/bin/python /mnt/afs_2/houze/wanUpsampler/changing_resolution/scripts/bridge/run_lightx2v_clean_bridge_batch_infer.py --seed 15000 --increment_seed --model_cls wan2.1_full_lr_stage2_k_hr --task t2v --model_path /mnt/afs_2/houze/Wan-AI/Wan2.1-T2V-1.3B --config_json /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/configs/full_lr50_stage2_5hr.json --prompts_file /mnt/afs_2/houze/wanUpsampler/changing_resolution/configs/wan_t2v_stage3_compare_10_prompts.txt --out_dir /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/benchmark_runs/full_lr50_stage2_5hr --name_prefix full_lr50_stage2_5hr --prompt-offset 0 --limit 1 --target_video_length 81 --negative_prompt ''
