run_signature,gpu,family,case,method,phase,repeat,elapsed_s,peak_memory_gib
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,warmup,0,127.02044048346579,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,measured,0,124.01148767955601,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,measured,1,123.92763666063547,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,measured,2,120.37393410131335,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,measured,3,116.50960981473327,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh40,talh,measured,4,119.50091861188412,26.2548828125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,warmup,0,102.08040545322001,25.9814453125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,measured,0,98.80490557849407,25.9814453125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,measured,1,101.24921843968332,25.9814453125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,measured,2,98.11706875823438,25.9814453125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,measured,3,96.87186872772872,25.9814453125
471e7f9413784ef0be9dc7159603a32d0a1dbcd901257775aca38f172b6b5e72,0,wan50,talh45,talh,measured,4,100.1985873002559,25.9814453125
