family,case,method,phase,repeat,elapsed_s,peak_memory_gib
wan50,full_hr50,native,warmup,0,237.10061016120017,26.1728515625
wan50,full_hr50,native,measured,0,235.32420423440635,26.1728515625
wan50,full_hr50,native,measured,1,230.7272598594427,26.1728515625
wan50,full_hr50,native,measured,2,250.97578204236925,26.1728515625
wan50,full_hr50,native,measured,3,246.8621498271823,26.1728515625
wan50,full_hr50,native,measured,4,251.15951677970588,26.1728515625
wan50,lightx2v_cr40,lightx2v,warmup,0,119.99744697660208,26.4658203125
wan50,lightx2v_cr40,lightx2v,measured,0,118.32090146280825,26.4658203125
wan50,lightx2v_cr40,lightx2v,measured,1,111.90091665834188,26.4658203125
wan50,lightx2v_cr40,lightx2v,measured,2,114.20637196488678,26.4658203125
wan50,lightx2v_cr40,lightx2v,measured,3,109.64279537834227,26.4658203125
wan50,lightx2v_cr40,lightx2v,measured,4,109.84711809456348,26.4658203125
wan50,lightx2v_cr45,lightx2v,warmup,0,93.60433656163514,26.8173828125
wan50,lightx2v_cr45,lightx2v,measured,0,92.10955434665084,26.8173828125
wan50,lightx2v_cr45,lightx2v,measured,1,94.04327988810837,26.8173828125
wan50,lightx2v_cr45,lightx2v,measured,2,94.48720278777182,26.8173828125
wan50,lightx2v_cr45,lightx2v,measured,3,93.45104704797268,26.8173828125
wan50,lightx2v_cr45,lightx2v,measured,4,94.63561478443444,26.8173828125
wan50,lightx2v_cr48,lightx2v,warmup,0,84.38408501818776,26.2509765625
wan50,lightx2v_cr48,lightx2v,measured,0,84.15092544257641,26.2509765625
wan50,lightx2v_cr48,lightx2v,measured,1,83.43324331194162,26.2509765625
wan50,lightx2v_cr48,lightx2v,measured,2,83.31541404128075,26.2509765625
wan50,lightx2v_cr48,lightx2v,measured,3,80.8245882615447,26.2509765625
wan50,lightx2v_cr48,lightx2v,measured,4,83.45589513517916,26.2509765625
wan50,talh40,talh,warmup,0,123.83566715754569,26.2548828125
wan50,talh40,talh,measured,0,126.57917359471321,26.2548828125
wan50,talh40,talh,measured,1,126.94097270816565,26.2548828125
wan50,talh40,talh,measured,2,127.87726991437376,26.2548828125
wan50,talh40,talh,measured,3,126.71449051052332,26.2548828125
wan50,talh40,talh,measured,4,127.92802302725613,26.2548828125
wan50,talh45,talh,warmup,0,110.73549393564463,25.9814453125
wan50,talh45,talh,measured,0,110.51869420334697,25.9814453125
wan50,talh45,talh,measured,1,109.33545264415443,25.9814453125
wan50,talh45,talh,measured,2,110.571931919083,25.9814453125
wan50,talh45,talh,measured,3,110.9914239756763,25.9814453125
wan50,talh45,talh,measured,4,108.74175670184195,25.9814453125
wan50,full_lr50_stage2_0hr,endpoint,warmup,0,81.8812870439142,25.9384765625
wan50,full_lr50_stage2_0hr,endpoint,measured,0,81.17143430188298,25.9384765625
wan50,full_lr50_stage2_0hr,endpoint,measured,1,83.13518026284873,25.9384765625
wan50,full_lr50_stage2_0hr,endpoint,measured,2,82.47321514412761,25.9384765625
wan50,full_lr50_stage2_0hr,endpoint,measured,3,80.7587272003293,25.9384765625
wan50,full_lr50_stage2_0hr,endpoint,measured,4,83.84175976365805,25.9384765625
wan50,full_lr50_stage2_1hr,endpoint,warmup,0,83.41274340637028,26.9541015625
wan50,full_lr50_stage2_1hr,endpoint,measured,0,83.89614296332002,26.9541015625
wan50,full_lr50_stage2_1hr,endpoint,measured,1,86.4006533883512,26.9541015625
wan50,full_lr50_stage2_1hr,endpoint,measured,2,86.64838544651866,26.9541015625
wan50,full_lr50_stage2_1hr,endpoint,measured,3,83.97743906266987,26.9541015625
wan50,full_lr50_stage2_1hr,endpoint,measured,4,85.59744491241872,26.9541015625
wan50,full_lr50_stage2_2hr,endpoint,warmup,0,87.8989454228431,26.4462890625
wan50,full_lr50_stage2_2hr,endpoint,measured,0,88.07546628639102,26.4462890625
wan50,full_lr50_stage2_2hr,endpoint,measured,1,88.17257774062455,26.4462890625
wan50,full_lr50_stage2_2hr,endpoint,measured,2,90.96103325113654,26.4462890625
wan50,full_lr50_stage2_2hr,endpoint,measured,3,87.72537449002266,26.4462890625
wan50,full_lr50_stage2_2hr,endpoint,measured,4,87.9636868648231,26.4462890625
wan50,full_lr50_stage2_5hr,endpoint,warmup,0,98.6975095551461,26.7001953125
wan50,full_lr50_stage2_5hr,endpoint,measured,0,98.70881091617048,26.7001953125
wan50,full_lr50_stage2_5hr,endpoint,measured,1,98.12401986680925,26.7001953125
wan50,full_lr50_stage2_5hr,endpoint,measured,2,100.13776549138129,26.7001953125
wan50,full_lr50_stage2_5hr,endpoint,measured,3,98.88017637841403,26.7001953125
wan50,full_lr50_stage2_5hr,endpoint,measured,4,101.1323733124882,26.7001953125
wan50,ralu_nt40,ralu,warmup,0,112.73994995839894,27.0322265625
wan50,ralu_nt40,ralu,measured,0,112.3590023368597,27.0322265625
wan50,ralu_nt40,ralu,measured,1,111.7101286649704,27.0322265625
wan50,ralu_nt40,ralu,measured,2,113.00481842830777,27.0322265625
wan50,ralu_nt40,ralu,measured,3,113.09477620571852,27.0322265625
wan50,ralu_nt40,ralu,measured,4,112.79780612140894,27.0322265625
wan50,ralu_nt45,ralu,warmup,0,97.55124989710748,26.1533203125
wan50,ralu_nt45,ralu,measured,0,97.51307430304587,26.1533203125
wan50,ralu_nt45,ralu,measured,1,96.8340304326266,26.1533203125
wan50,ralu_nt45,ralu,measured,2,95.38196807168424,26.1533203125
wan50,ralu_nt45,ralu,measured,3,96.87010329402983,26.1533203125
wan50,ralu_nt45,ralu,measured,4,97.71072111465037,26.1533203125
wan50,ralu_nt48,ralu,warmup,0,87.27710374817252,26.6806640625
wan50,ralu_nt48,ralu,measured,0,85.74560119025409,26.6806640625
wan50,ralu_nt48,ralu,measured,1,87.24143411964178,26.6806640625
wan50,ralu_nt48,ralu,measured,2,87.00223850086331,26.6806640625
wan50,ralu_nt48,ralu,measured,3,86.73023364692926,26.6806640625
wan50,ralu_nt48,ralu,measured,4,87.11342909745872,26.6806640625
