family,case,display_name,method,measurement,lr_evaluations,hr_evaluations,total_evaluations,handoff_step,refinement_steps,reschedule_mode,gpu,warmup,repeats,initialization_s,pipeline_mean_s,pipeline_std_s,pipeline_median_s,denoise_mean_s,denoise_std_s,non_denoise_mean_s,init_plus_pipeline_mean_s,peak_memory_gib,speedup_vs_native,latency_reduction_vs_native_pct,quality_metric,quality_value,quality_components,vbench_source
wan50,full_hr50,Native-HR,native,warm_model_single_video_end_to_end,0,50,50,,,canonical,0,1,5,59.656770875677466,187.54059454798698,0.2571502837270102,187.6684245634824,182.29218805208802,0.2773580281507432,5.248406495898962,247.19736542366445,27.0712890625,1.0,0.0,vbench_custom_quality5_mean,0.8283636464517838,"{""aesthetic_quality"": 0.5949257165193558, ""background_consistency"": 0.9696078491210938, ""imaging_quality"": 0.6311151439996414, ""motion_smoothness"": 0.9847721118386369, ""subject_consistency"": 0.9613974107801915}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,lightx2v_cr40,LightX2V-40,lightx2v,warm_model_single_video_end_to_end,40,10,50,40,,canonical,0,1,5,58.68882607482374,58.11708075404167,0.19709375583749011,58.1244172565639,52.87824113555253,0.07232837815574099,5.238839618489147,116.8059068288654,27.4814453125,3.2269445077890415,69.01093286276698,vbench_custom_quality5_mean,0.7781163055468754,"{""aesthetic_quality"": 0.5531150609254837, ""background_consistency"": 0.9591583251953125, ""imaging_quality"": 0.4810966877878448, ""motion_smoothness"": 0.9754207557109531, ""subject_consistency"": 0.9217906981147825}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,ralu_nt40,RALU-40,ralu,warm_model_single_video_end_to_end,40,10,50,40,,ralu_eq7_truncated_shifted_suffix,0,1,5,56.29765919782221,58.24233525656164,0.18271088277407818,58.22910209186375,52.99177475720644,0.12204857911523323,5.250560499355197,114.53999445438384,27.2470703125,3.2200047220266375,68.94414492129657,vbench_custom_quality5_mean,0.8169005664476412,"{""aesthetic_quality"": 0.6028420448303222, ""background_consistency"": 0.9565631103515625, ""imaging_quality"": 0.6334157898867572, ""motion_smoothness"": 0.9712813554119416, ""subject_consistency"": 0.9204005317576229}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,talh40,TrajScale-40,talh,warm_model_single_video_end_to_end,40,10,50,40,,canonical,0,1,5,57.333229975774884,58.485783813521266,0.1589665063984592,58.574146742001176,53.27325001731515,0.1418173909013147,5.212533796206117,115.81901378929615,27.2314453125,3.206601370786958,68.81433379557929,vbench_custom_quality5_mean,0.809830280689221,"{""aesthetic_quality"": 0.5945104956626892, ""background_consistency"": 0.9594680786132812, ""imaging_quality"": 0.5882910485091033, ""motion_smoothness"": 0.9797514623397436, ""subject_consistency"": 0.9271303183212877}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,lightx2v_cr45,LightX2V-45,lightx2v,warm_model_single_video_end_to_end,45,5,50,45,,canonical,0,1,5,56.04549079760909,41.98036723248661,0.19122873575967658,41.867596155032516,36.757934384047985,0.10396728144766909,5.22243284843862,98.02585803009569,27.3056640625,4.467340495365135,77.61531718843683,vbench_custom_quality5_mean,0.7677612322724384,"{""aesthetic_quality"": 0.5267514735460281, ""background_consistency"": 0.95986083984375, ""imaging_quality"": 0.4542479305973759, ""motion_smoothness"": 0.9753204800520339, ""subject_consistency"": 0.9226254373230041}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,ralu_nt45,RALU-45,ralu,warm_model_single_video_end_to_end,45,5,50,45,,ralu_eq7_truncated_shifted_suffix,0,1,5,55.29706779867411,42.00649586096406,0.18846461411118628,41.998529417440295,36.809738490357994,0.07205124922051556,5.196757370606065,97.30356365963817,27.0908203125,4.464561747038399,77.60138493630741,vbench_custom_quality5_mean,0.8044016363824034,"{""aesthetic_quality"": 0.569489935040474, ""background_consistency"": 0.9587338256835938, ""imaging_quality"": 0.6021616406852817, ""motion_smoothness"": 0.9722214036685276, ""subject_consistency"": 0.9194013768341393}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,talh45,TrajScale-45,talh,warm_model_single_video_end_to_end,45,5,50,45,,canonical,0,1,5,57.650101609528065,42.26283424682915,0.19649033745121552,42.27276996523142,36.99359961003065,0.14432001871015696,5.269234636798501,99.91293585635722,27.5048828125,4.437482669824909,77.46470072322654,vbench_custom_quality5_mean,0.8079196316471121,"{""aesthetic_quality"": 0.5803168714046478, ""background_consistency"": 0.9584420776367187, ""imaging_quality"": 0.5976831292164178, ""motion_smoothness"": 0.9795687867254272, ""subject_consistency"": 0.9235872932523489}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,lightx2v_cr48,LightX2V-48,lightx2v,warm_model_single_video_end_to_end,48,2,50,48,,canonical,0,1,5,52.5446713976562,32.268865356221795,0.18126264912190504,32.19894727692008,27.042208010330796,0.07246259011132652,5.226657345890999,84.813536753878,27.2666015625,5.811812484811372,82.79366372171492,vbench_custom_quality5_mean,0.7640876847329612,"{""aesthetic_quality"": 0.49471441805362704, ""background_consistency"": 0.9619265747070312, ""imaging_quality"": 0.46832642186718226, ""motion_smoothness"": 0.9755165606946423, ""subject_consistency"": 0.9199544483423233}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,ralu_nt48,RALU-48,ralu,warm_model_single_video_end_to_end,48,2,50,48,,ralu_eq7_truncated_shifted_suffix,0,1,5,54.8142915032804,32.395116405189036,0.1610703167515967,32.429481195285916,27.134031515195964,0.10184329990883043,5.261084889993072,87.20940790846944,27.5009765625,5.7891625454368425,82.72634440385123,vbench_custom_quality5_mean,0.7968636498464511,"{""aesthetic_quality"": 0.536292552947998, ""background_consistency"": 0.9585971069335938, ""imaging_quality"": 0.5908755585588055, ""motion_smoothness"": 0.9744757223903925, ""subject_consistency"": 0.9240773084014654}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
wan50,full_lr50_stage2_0hr,Endpoint-0HR,endpoint,warm_model_single_video_end_to_end,50,0,50,50,0,lowest_noise_hr_suffix,0,1,5,54.89022056013346,25.87653653807938,0.10839617638155902,25.886595848947763,20.636375756934285,0.07465838165549113,5.240160781145096,80.76675709821284,27.0517578125,7.247515302985239,86.20216780241772,vbench_custom_quality5_mean,0.796468739535193,"{""aesthetic_quality"": 0.5599341124296189, ""background_consistency"": 0.9506265258789063, ""imaging_quality"": 0.5711031588801632, ""motion_smoothness"": 0.9791095907700686, ""subject_consistency"": 0.9215703097172081}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/metrics/vbench_v1_custom.json
