comparison,left_case,right_case,left_display_name,right_display_name,paired_repeats,pipeline_delta_mean_s,pipeline_delta_ci95_low_s,pipeline_delta_ci95_high_s,pipeline_delta_pct_of_left,denoise_delta_mean_s,denoise_delta_ci95_low_s,denoise_delta_ci95_high_s,denoise_delta_pct_of_left
full_hr50_vs_lightx2v_cr40,full_hr50,lightx2v_cr40,Native-HR,LightX2V-40,5,-129.42351379394532,-129.5635456935431,-129.28348189434755,-69.01093286276698,-129.4139469165355,-129.67895742502608,-129.14893640804493,-70.99259068608957
full_hr50_vs_lightx2v_cr45,full_hr50,lightx2v_cr45,Native-HR,LightX2V-45,5,-145.56022731550038,-145.84580763501572,-145.27464699598505,-77.61531718843683,-145.53425366804004,-145.83416513384094,-145.23434220223913,-79.83570509694864
full_hr50_vs_lightx2v_cr48,full_hr50,lightx2v_cr48,Native-HR,LightX2V-48,5,-155.2717291917652,-155.53532608409543,-155.00813229943495,-82.79366372171494,-155.24998004175723,-155.55500735163372,-154.94495273188073,-85.16545974937567
full_hr50_vs_talh40,full_hr50,talh40,Native-HR,TrajScale-40,5,-129.05481073446572,-129.360999316702,-128.74862215222944,-68.81433379557927,-129.01893803477287,-129.30856320272304,-128.7293128668227,-70.77590071929309
full_hr50_vs_talh45,full_hr50,talh45,Native-HR,TrajScale-45,5,-145.27776030115783,-145.49772176884036,-145.0577988334753,-77.46470072322654,-145.29858844205737,-145.57293786471095,-145.02423901940378,-79.70642625702637
full_hr50_vs_full_lr50_stage2_0hr,full_hr50,full_lr50_stage2_0hr,Native-HR,Endpoint-0HR,5,-161.6640580099076,-161.90290002008174,-161.42521599973344,-86.20216780241772,-161.65581229515374,-161.96637074977653,-161.34525384053094,-88.67950624903484
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,Native-HR,Endpoint-1HR,5,-158.07765661850573,-158.37815070392054,-157.77716253309092,-84.28983442198569,-157.9972888946533,-158.34066340360218,-157.65391438570444,-86.67255058099762
full_hr50_vs_full_lr50_stage2_2hr,full_hr50,full_lr50_stage2_2hr,Native-HR,Endpoint-2HR,5,-154.31021995060146,-154.60423972532533,-154.0162001758776,-82.28096979351172,-154.33268086351455,-154.66396930590184,-154.00139242112726,-84.66225706798564
full_hr50_vs_full_lr50_stage2_5hr,full_hr50,full_lr50_stage2_5hr,Native-HR,Endpoint-5HR,5,-143.53627529852093,-143.6661628816569,-143.40638771538497,-76.53610976571453,-143.53357808440924,-143.8000178489453,-143.2671383198732,-78.73819477299601
full_hr50_vs_ralu_nt40,full_hr50,ralu_nt40,Native-HR,RALU-40,5,-129.29825929142535,-129.58012827102093,-129.01639031182978,-68.94414492129657,-129.3004132948816,-129.52976505438195,-129.07106153538123,-70.93030956320268
full_hr50_vs_ralu_nt45,full_hr50,ralu_nt45,Native-HR,RALU-45,5,-145.53409868702292,-145.816550066136,-145.25164730790985,-77.60138493630741,-145.48244956173002,-145.8177131325472,-145.14718599091285,-79.80728692562514
full_hr50_vs_ralu_nt48,full_hr50,ralu_nt48,Native-HR,RALU-48,5,-155.14547814279794,-155.41928116037823,-154.87167512521765,-82.72634440385123,-155.15815653689205,-155.45545353312582,-154.86085954065828,-85.11508814220679
lightx2v_cr40_vs_ralu_nt40,lightx2v_cr40,ralu_nt40,LightX2V-40,RALU-40,5,0.12525450251996517,-0.02200237963136581,0.27251138467129615,0.21552098091446983,0.11353362165391445,0.02578638079210309,0.2012808625157258,0.21470763629008163
ralu_nt40_vs_talh40,ralu_nt40,talh40,RALU-40,TrajScale-40,5,0.24344855695962905,-0.0697074114577114,0.5566045253769695,0.4179924377812476,0.2814752601087093,0.15921209395076186,0.4037384262666568,0.5311678300988231
lightx2v_cr45_vs_ralu_nt45,lightx2v_cr45,ralu_nt45,LightX2V-45,RALU-45,5,0.026128628477454185,-0.1563883186786585,0.20864557563356684,0.06224011412943164,0.05180410631000996,-0.051292742868986434,0.15490095548900634,0.14093312689652016
ralu_nt45_vs_talh45,ralu_nt45,talh45,RALU-45,TrajScale-45,5,0.2563383858650923,0.17312150407067606,0.3395552676595085,0.610235109144877,0.18386111967265606,-0.007907640790809911,0.37562988013612203,0.4994904262110337
lightx2v_cr48_vs_ralu_nt48,lightx2v_cr48,ralu_nt48,LightX2V-48,RALU-48,5,0.12625104896724224,-0.06182821333850874,0.3143303112729932,0.391247252029268,0.09182350486516952,-0.09015209937836605,0.2737991091087051,0.33955624048927757
full_lr50_stage2_0hr_vs_full_lr50_stage2_1hr,full_lr50_stage2_0hr,full_lr50_stage2_1hr,Endpoint-0HR,Endpoint-1HR,5,3.586401391401887,3.425360265842846,3.747442516960928,13.859665439090785,3.6585234005004166,3.5065871961019353,3.810459604898898,17.728517078736903
full_lr50_stage2_1hr_vs_full_lr50_stage2_2hr,full_lr50_stage2_1hr,full_lr50_stage2_2hr,Endpoint-1HR,Endpoint-2HR,5,3.7674366679042577,3.55830672063502,3.9765666151734953,12.787036638781624,3.6646080311387776,3.501003200566814,3.828212861710741,15.083857757101814
full_lr50_stage2_2hr_vs_full_lr50_stage2_5hr,full_lr50_stage2_2hr,full_lr50_stage2_5hr,Endpoint-2HR,Endpoint-5HR,5,10.773944652080536,10.480454152849171,11.0674351513119,32.421977731566706,10.799102779105306,10.61100786470272,10.987197693507891,38.624081269639454
