case,display_name,method,phase,repeat,prompt_index,seed,pipeline_elapsed_s,denoise_elapsed_s,non_denoise_elapsed_s,segment_count,output
full_hr50,Native-HR,native,warmup,0,0,15000,190.54010797664523,184.25880088098347,6.281307095661759,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_00_seed15000.mp4
full_hr50,Native-HR,native,measured,0,1,15001,187.80184489302337,182.62868413887918,5.173160754144192,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_01_seed15001.mp4
full_hr50,Native-HR,native,measured,1,2,15002,187.70443094708025,182.17148331925273,5.532947627827525,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_02_seed15002.mp4
full_hr50,Native-HR,native,measured,2,3,15003,187.25384100340307,182.19211020506918,5.061730798333883,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_03_seed15003.mp4
full_hr50,Native-HR,native,measured,3,4,15004,187.27443133294582,181.9486739244312,5.325757408514619,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_04_seed15004.mp4
full_hr50,Native-HR,native,measured,4,5,15005,187.6684245634824,182.5199886728078,5.148435890674591,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_hr50/full_hr50_05_seed15005.mp4
lightx2v_cr40,LightX2V-40,lightx2v,warmup,0,0,15000,59.950909899547696,53.63725030981004,6.313659589737654,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_00_seed15000.mp4
lightx2v_cr40,LightX2V-40,lightx2v,measured,0,1,15001,58.259589748457074,52.953705275431275,5.305884473025799,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_01_seed15001.mp4
lightx2v_cr40,LightX2V-40,lightx2v,measured,1,2,15002,58.35301510617137,52.88892708346248,5.464088022708893,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_02_seed15002.mp4
lightx2v_cr40,LightX2V-40,lightx2v,measured,2,3,15003,57.87447618320584,52.81113346107304,5.063342722132802,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_03_seed15003.mp4
lightx2v_cr40,LightX2V-40,lightx2v,measured,3,4,15004,57.97390547581017,52.79649872519076,5.1774067506194115,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_04_seed15004.mp4
lightx2v_cr40,LightX2V-40,lightx2v,measured,4,5,15005,58.1244172565639,52.940941132605076,5.183476123958826,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr40/lightx2v_cr40_05_seed15005.mp4
ralu_nt40,RALU-40,ralu,warmup,0,0,15000,60.322440991178155,53.803199825808406,6.519241165369749,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_00_seed15000.mp4
ralu_nt40,RALU-40,ralu,measured,0,1,15001,58.22910209186375,53.05317700840533,5.175925083458424,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_01_seed15001.mp4
ralu_nt40,RALU-40,ralu,measured,1,2,15002,58.52068140543997,53.02106757462025,5.499613830819726,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_02_seed15002.mp4
ralu_nt40,RALU-40,ralu,measured,2,3,15003,58.0130964666605,52.97180747799575,5.041288988664746,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_03_seed15003.mp4
ralu_nt40,RALU-40,ralu,measured,3,4,15004,58.261055149137974,52.79508012346923,5.46597502566874,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_04_seed15004.mp4
ralu_nt40,RALU-40,ralu,measured,4,5,15005,58.18774116970599,53.11774160154164,5.069999568164349,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt40/ralu_nt40_05_seed15005.mp4
talh40,TrajScale-40,talh,warmup,0,0,15000,60.20252916403115,53.87265907600522,6.3298700880259275,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_00_seed15000.mp4
talh40,TrajScale-40,talh,measured,0,1,15001,58.46161232329905,53.241944355890155,5.2196679674088955,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_01_seed15001.mp4
talh40,TrajScale-40,talh,measured,1,2,15002,58.574146742001176,53.21032090485096,5.363825837150216,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_02_seed15002.mp4
talh40,TrajScale-40,talh,measured,2,3,15003,58.592959048226476,53.39667587168515,5.196283176541328,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_03_seed15003.mp4
talh40,TrajScale-40,talh,measured,3,4,15004,58.2177281472832,53.08566810376942,5.132060043513775,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_04_seed15004.mp4
talh40,TrajScale-40,talh,measured,4,5,15005,58.58247280679643,53.43164085038006,5.1508319564163685,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh40/talh40_05_seed15005.mp4
lightx2v_cr45,LightX2V-45,lightx2v,warmup,0,0,15000,43.87534673511982,37.42063119262457,6.454715542495251,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_00_seed15000.mp4
lightx2v_cr45,LightX2V-45,lightx2v,measured,0,1,15001,41.84041838347912,36.70807730033994,5.132341083139181,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_01_seed15001.mp4
lightx2v_cr45,LightX2V-45,lightx2v,measured,1,2,15002,42.24189876392484,36.73378276079893,5.508116003125906,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_02_seed15002.mp4
lightx2v_cr45,LightX2V-45,lightx2v,measured,2,3,15003,41.82507545128465,36.7389156203717,5.086159830912948,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_03_seed15003.mp4
lightx2v_cr45,LightX2V-45,lightx2v,measured,3,4,15004,41.867596155032516,36.67125843465328,5.196337720379233,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_04_seed15004.mp4
lightx2v_cr45,LightX2V-45,lightx2v,measured,4,5,15005,42.12684740871191,36.937637804076076,5.189209604635835,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr45/lightx2v_cr45_05_seed15005.mp4
ralu_nt45,RALU-45,ralu,warmup,0,0,15000,43.744921408593655,37.368490386754274,6.37643102183938,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_00_seed15000.mp4
