comparison,case_a,case_b,metric,samples,a_mean,b_mean,delta_b_minus_a_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,two_sided_sign_test_p
native_hr4_vs_interp2,native_hr4,interp2,temporal_flickering,10,0.9841216311735266,0.9723856122820985,-0.011736018891428047,0.02157091167257552,-0.027069880261140745,-0.0015165924090965032,3,7,0,0.34375
native_hr4_vs_interp3,native_hr4,interp3,temporal_flickering,10,0.9841216311735266,0.9739989116612603,-0.010122719512266277,0.021533226671157635,-0.025208640688774642,-0.00021135489145917007,3,7,0,0.34375
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,temporal_flickering,10,0.9841216311735266,0.973634438795202,-0.010487192378324605,0.02166484825270809,-0.025469368058092447,-0.00043865587664582373,3,7,0,0.34375
native_hr4_vs_cll3,native_hr4,cll3,temporal_flickering,10,0.9841216311735266,0.9769038761129566,-0.007217755060569908,0.01938033257826161,-0.02089422844788607,0.0016511476004825022,5,5,0,1.0
native_hr4_vs_talh3,native_hr4,talh3,temporal_flickering,10,0.9841216311735266,0.976634581416261,-0.0074870497572655514,0.019358178379115975,-0.021011795856204687,0.0016571929524926824,5,5,0,1.0
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,temporal_flickering,10,0.9841216311735266,0.9780687884957182,-0.006052842677808279,0.017140027527576502,-0.01786051938580532,0.002161800643977001,6,4,0,0.75390625
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,temporal_flickering,10,0.9841216311735266,0.9763079372574301,-0.007813693916096398,0.019213796191414112,-0.021399425095202873,0.0012204795842077265,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,temporal_flickering,10,0.9841216311735266,0.9733059083480461,-0.010815722825480423,0.02209535449023762,-0.026124104794918286,-0.00026769776496231626,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_4hr,native_hr4,endpoint_stage2_4hr,temporal_flickering,10,0.9841216311735266,0.9817010908734565,-0.002420540300070051,0.005344130623536436,-0.006067991619016574,0.0005270874885951735,4,6,0,0.75390625
native_hr4_vs_endpoint_interp_0hr,native_hr4,endpoint_interp_0hr,temporal_flickering,10,0.9841216311735266,0.9758381901535333,-0.008283441019993187,0.019375713247298455,-0.022551610633438704,0.0008634717207328999,5,5,0,1.0
