comparison,left_case,right_case,left_display_name,right_display_name,paired_repeats,pipeline_delta_mean_s,pipeline_delta_ci95_low_s,pipeline_delta_ci95_high_s,pipeline_delta_pct_of_left,denoise_delta_mean_s,denoise_delta_ci95_low_s,denoise_delta_ci95_high_s,denoise_delta_pct_of_left
native_hr4_vs_interp2,native_hr4,interp2,Native-HR4,Interp-D4@2,5,-16.140580639615656,-16.428380362324436,-15.852780916906879,-37.98612346401856,-16.14805334880948,-16.375939647413173,-15.920167050205787,-43.25379149847602
native_hr4_vs_interp3,native_hr4,interp3,Native-HR4,Interp-D4@3,5,-24.15946864448488,-24.504757201724416,-23.81418008724534,-56.858212182405154,-24.22679467201233,-24.452805591252144,-24.000783752772513,-64.89331579381164
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,Native-HR4,TAA+Interp-D4@3,5,-22.475864839926363,-22.749866078680213,-22.201863601172512,-52.89592709413004,-22.547796115651728,-22.729212836461762,-22.366379394841694,-60.395990208222216
native_hr4_vs_cll3,native_hr4,cll3,Native-HR4,CLL-D4@3,5,-24.21686815842986,-24.48684616606289,-23.946890150796833,-56.99329933150914,-24.19754416719079,-24.422430626003326,-23.972657708378257,-64.81496608753764
native_hr4_vs_talh3,native_hr4,talh3,Native-HR4,TrajScale-D4@3,5,-22.56842247918248,-22.74683869362288,-22.39000626474208,-53.11375729434548,-22.488074742630126,-22.647921405535026,-22.328228079725225,-60.23602195936394
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,Native-HR4,Endpoint-STAGE2-0HR,5,-32.26247973032296,-32.432730144186394,-32.09222931645952,-75.92828075115807,-32.3311599817127,-32.489482613841574,-32.17283734958383,-86.60147588972227
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,Native-HR4,Endpoint-STAGE2-1HR,5,-23.000802170112728,-23.261518890132518,-22.740085450092938,-54.131343259171196,-23.001590620726347,-23.145564080812516,-22.857617160640178,-61.611513372635024
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,Native-HR4,Endpoint-STAGE2-2HR,5,-13.72837157920003,-13.928303522253751,-13.528439636146308,-32.30909899780616,-13.691373913362622,-13.875046493028341,-13.507701333696902,-36.67338841309444
native_hr4_vs_endpoint_stage2_4hr,native_hr4,endpoint_stage2_4hr,Native-HR4,Endpoint-STAGE2-4HR,5,4.954581600800156,4.734055222329076,5.175107979271237,11.66038277077937,4.9687808461487295,4.803213788871024,5.134347903426435,13.30925815505702
native_hr4_vs_endpoint_interp_0hr,native_hr4,endpoint_interp_0hr,Native-HR4,Endpoint-INTERP-0HR,5,-32.332791139557955,-32.57209791407592,-32.09348436503999,-76.09375545939591,-32.392004172503945,-32.54407386713061,-32.239934477877284,-86.76445169154371
native_hr4_vs_endpoint_interp_1hr,native_hr4,endpoint_interp_1hr,Native-HR4,Endpoint-INTERP-1HR,5,-22.978228140249847,-23.201379521991967,-22.755076758507727,-54.078216305153994,-23.006335768848658,-23.14986566866098,-22.862805869036336,-61.624223613496774
native_hr4_vs_endpoint_interp_2hr,native_hr4,endpoint_interp_2hr,Native-HR4,Endpoint-INTERP-2HR,5,-13.679111341759562,-13.837571847852994,-13.52065083566613,-32.19316726628668,-13.73816742412746,-13.929677462964266,-13.546657385290652,-36.79872839769718
native_hr4_vs_endpoint_interp_4hr,native_hr4,endpoint_interp_4hr,Native-HR4,Endpoint-INTERP-4HR,5,4.851300229877234,4.595637601184965,5.106962858569503,11.4173147551355,4.877897489443422,4.629996968626809,5.125798010260034,13.065820158123303
native_hr4_vs_endpoint_rgb_0hr,native_hr4,endpoint_rgb_0hr,Native-HR4,Endpoint-RGB-0HR,5,-24.701218687742948,-24.93841879111092,-24.464018584374976,-58.13319630406241,-24.728375387564302,-24.893458970050833,-24.56329180507777,-66.23683796465836
native_hr4_vs_endpoint_rgb_1hr,native_hr4,endpoint_rgb_1hr,Native-HR4,Endpoint-RGB-1HR,5,-15.374130621179939,-15.598327884343458,-15.149933358016419,-36.18231815618226,-15.338615659996867,-15.481741747937564,-15.19548957205617,-41.08565096372294
native_hr4_vs_endpoint_rgb_2hr,native_hr4,endpoint_rgb_2hr,Native-HR4,Endpoint-RGB-2HR,5,-5.805840322002768,-6.1128187307624,-5.498861913243137,-13.663781508744162,-5.811763215065002,-6.177214006497494,-5.44631242363251,-15.567250671825864
native_hr4_vs_endpoint_rgb_4hr,native_hr4,endpoint_rgb_4hr,Native-HR4,Endpoint-RGB-4HR,5,12.628077154606581,12.542585178429894,12.713569130783268,29.719606042590318,12.626580591127276,12.556468074902648,12.696693107351903,33.82125835418968
interp3_vs_taa_interp3,interp3,taa_interp3,Interp-D4@3,TAA+Interp-D4@3,5,1.6836038045585155,1.5705555878124662,1.796652021304565,9.18433214920951,1.6789985563606025,1.5527582738600885,1.8052388388611165,12.810453870196769
interp3_vs_cll3,interp3,cll3,Interp-D4@3,CLL-D4@3,5,-0.05739951394498348,-0.154961278265697,0.040162250375730055,-0.31312366950379433,0.029250504821538924,-0.0014983120095701519,0.059999321652648,0.2231760362608762
cll3_vs_talh3,cll3,talh3,CLL-D4@3,TrajScale-D4@3,5,1.6484456792473794,1.466839877117815,1.8300514813769437,9.020785079674885,1.709469424560666,1.5654074540238845,1.8535313950974477,13.013897157427099
interp3_vs_talh3,interp3,talh3,Interp-D4@3,TrajScale-D4@3,5,1.5910461653023957,1.3580977281084852,1.8239946024963063,8.679415196911561,1.738719929382205,1.598933852315049,1.8785060064493613,13.266117093526987
cll3_vs_endpoint_stage2_1hr,cll3,endpoint_stage2_1hr,CLL-D4@3,Endpoint-STAGE2-1HR,5,1.216065988317132,1.1642063077571287,1.2679256688771354,6.654674801489197,1.1959535464644433,1.1074818747761455,1.2844252181527411,9.104588964934797
talh3_vs_endpoint_stage2_1hr,talh3,endpoint_stage2_1hr,TrajScale-D4@3,Endpoint-STAGE2-1HR,5,-0.4323796909302473,-0.5931379681171834,-0.27162141374331117,-2.1703295169416377,-0.5135158780962229,-0.6037364735115233,-0.42329528268092254,-3.459139354381064
talh3_vs_endpoint_rgb_1hr,talh3,endpoint_rgb_1hr,TrajScale-D4@3,Endpoint-RGB-1HR,5,7.1942918580025434,6.903902039702394,7.484681676302693,36.11174229604301,7.149459082633257,7.004882512030418,7.2940356532360955,48.16009850943642
endpoint_interp_0hr_vs_endpoint_stage2_0hr,endpoint_interp_0hr,endpoint_stage2_0hr,Endpoint-INTERP-0HR,Endpoint-STAGE2-0HR,5,0.07031140923500061,-0.07156832686976798,0.21219114533976918,0.6921819441643978,0.060844190791249274,0.04298670283532158,0.07870167874717697,1.2313490761644488
endpoint_stage2_0hr_vs_endpoint_rgb_0hr,endpoint_stage2_0hr,endpoint_rgb_0hr,Endpoint-STAGE2-0HR,Endpoint-RGB-0HR,5,7.561261042580009,7.465372792503565,7.657149292656452,73.92527414904843,7.602784594148398,7.5652842117329975,7.640284976563798,151.9916504045588
endpoint_interp_1hr_vs_endpoint_stage2_1hr,endpoint_interp_1hr,endpoint_stage2_1hr,Endpoint-INTERP-1HR,Endpoint-STAGE2-1HR,5,-0.022574029862880707,-0.12309263582381047,0.07794457609804906,-0.11569009246295091,0.004745148122310638,-0.07419277655149063,0.08368307279611191,0.03312047874612753
endpoint_stage2_1hr_vs_endpoint_rgb_1hr,endpoint_stage2_1hr,endpoint_rgb_1hr,Endpoint-STAGE2-1HR,Endpoint-RGB-1HR,5,7.626671548932791,7.319859700847656,7.933483397017926,39.13135107575992,7.66297496072948,7.5496768608063425,7.776273060652618,53.46879810125246
endpoint_interp_2hr_vs_endpoint_stage2_2hr,endpoint_interp_2hr,endpoint_stage2_2hr,Endpoint-INTERP-2HR,Endpoint-STAGE2-2HR,5,-0.049260237440466884,-0.22008757097342302,0.12156709609248927,-0.17097352412073288,0.046793510764837266,-0.051206998156460216,0.14479401968613476,0.1983187702162793
endpoint_stage2_2hr_vs_endpoint_rgb_2hr,endpoint_stage2_2hr,endpoint_rgb_2hr,Endpoint-STAGE2-2HR,Endpoint-RGB-2HR,5,7.922531257197261,7.5960125825853035,8.24904993180922,27.544791416585976,7.87961069829762,7.53375185786079,8.225469538734451,33.3290179473819
endpoint_interp_4hr_vs_endpoint_stage2_4hr,endpoint_interp_4hr,endpoint_stage2_4hr,Endpoint-INTERP-4HR,Endpoint-STAGE2-4HR,5,0.10328137092292308,-0.115056272632647,0.32161901447849317,0.21816000159227222,0.09088335670530796,-0.1283890653716107,0.31015577878222667,0.21530644415197212
endpoint_stage2_4hr_vs_endpoint_rgb_4hr,endpoint_stage2_4hr,endpoint_rgb_4hr,Endpoint-STAGE2-4HR,Endpoint-RGB-4HR,5,7.673495553806424,7.399946814422586,7.947044293190261,16.173348884969883,7.657799744978547,7.442502524404422,7.873096965552672,18.1026692197236
endpoint_stage2_0hr_vs_endpoint_stage2_1hr,endpoint_stage2_0hr,endpoint_stage2_1hr,Endpoint-STAGE2-0HR,Endpoint-STAGE2-1HR,5,9.261677560210227,9.104158614561332,9.419196505859123,90.549982187232,9.329569360986351,9.297382480168459,9.361756241804244,186.51280030102646
endpoint_stage2_1hr_vs_endpoint_stage2_2hr,endpoint_stage2_1hr,endpoint_stage2_2hr,Endpoint-STAGE2-1HR,Endpoint-STAGE2-2HR,5,9.2724305909127,9.079697859681554,9.465163322143846,47.575503212721145,9.310216707363725,9.253245240104288,9.367188174623163,64.96251129046487
endpoint_stage2_2hr_vs_endpoint_stage2_4hr,endpoint_stage2_2hr,endpoint_stage2_4hr,Endpoint-STAGE2-2HR,Endpoint-STAGE2-4HR,5,18.682953180000187,18.518614337230332,18.84729202277004,64.9562660824392,18.66015475951135,18.517786208675062,18.802523310347638,78.92834515479852
endpoint_interp_0hr_vs_endpoint_interp_1hr,endpoint_interp_0hr,endpoint_interp_1hr,Endpoint-INTERP-0HR,Endpoint-INTERP-1HR,5,9.35456299930811,9.284697712195854,9.424428286420365,92.09116520517954,9.385668403655291,9.325306759052577,9.446030048258006,189.9447419339983
endpoint_interp_1hr_vs_endpoint_interp_2hr,endpoint_interp_1hr,endpoint_interp_2hr,Endpoint-INTERP-1HR,Endpoint-INTERP-2HR,5,9.299116798490285,9.113615962486035,9.484617634494535,47.65722774249199,9.268168344721198,9.169046458859762,9.367290230582634,64.69053541944945
endpoint_interp_2hr_vs_endpoint_interp_4hr,endpoint_interp_2hr,endpoint_interp_4hr,Endpoint-INTERP-2HR,Endpoint-INTERP-4HR,5,18.530411571636797,18.267980240643272,18.792842902630323,64.31576326929545,18.61606491357088,18.398216994006887,18.833912833134875,78.89801469438093
endpoint_rgb_0hr_vs_endpoint_rgb_1hr,endpoint_rgb_0hr,endpoint_rgb_1hr,Endpoint-RGB-0HR,Endpoint-RGB-1HR,5,9.327088066563011,8.993888871278571,9.66028726184745,52.430269832158416,9.389759727567434,9.257922498151443,9.521596956983425,74.49298432003609
endpoint_rgb_1hr_vs_endpoint_rgb_2hr,endpoint_rgb_1hr,endpoint_rgb_2hr,Endpoint-RGB-1HR,Endpoint-RGB-2HR,5,9.56829029917717,9.320229935168262,9.816350663186077,35.285732726155985,9.526852444931865,9.219041087225403,9.834663802638328,43.314405928823696
endpoint_rgb_2hr_vs_endpoint_rgb_4hr,endpoint_rgb_2hr,endpoint_rgb_4hr,Endpoint-RGB-2HR,Endpoint-RGB-4HR,5,18.43391747660935,18.07541840590968,18.792416547309017,50.24934877791569,18.43834380619228,18.060703029959612,18.815984582424946,58.494493450700915
