comparison,case_a,case_b,metric,samples,a_mean,b_mean,delta_b_minus_a_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,two_sided_sign_test_p
native_hr4_vs_interp2,native_hr4,interp2,subject_consistency,10,0.9718578515574336,0.9590369369834661,-0.012820914573967468,0.02100396161260803,-0.027214416794478887,-0.001333204387687167,3,7,0,0.34375
native_hr4_vs_interp2,native_hr4,interp2,background_consistency,10,0.9755722045898437,0.9714715576171875,-0.004100646972656263,0.01187749229882874,-0.010950370788574233,0.003951118469238261,3,7,0,0.34375
native_hr4_vs_interp2,native_hr4,interp2,motion_smoothness,10,0.9912263418564838,0.9843285912252633,-0.006897750631220567,0.012355765385467909,-0.015494427451205897,-0.0009176659707092862,2,8,0,0.109375
native_hr4_vs_interp2,native_hr4,interp2,aesthetic_quality,10,0.6520261108875275,0.674001270532608,0.021975159645080566,0.06007247251680184,-0.011113244891166687,0.06317804291844367,7,3,0,0.34375
native_hr4_vs_interp2,native_hr4,interp2,imaging_quality,10,0.7113480201532811,0.7216588879338017,0.010310867780520594,0.046830789568970986,-0.019327578876636577,0.038980745857144575,5,5,0,1.0
native_hr4_vs_interp3,native_hr4,interp3,subject_consistency,10,0.9718578515574336,0.9593155089393258,-0.012542342618107794,0.02244177952123165,-0.027709428519010558,-0.00013907445408403696,3,7,0,0.34375
native_hr4_vs_interp3,native_hr4,interp3,background_consistency,10,0.9755722045898437,0.9693676757812499,-0.006204528808593767,0.012170640524288047,-0.01491259765625001,8.838653564449906e-05,3,7,0,0.34375
native_hr4_vs_interp3,native_hr4,interp3,motion_smoothness,10,0.9912263418564838,0.983764009248494,-0.007462332607989786,0.013302268086788199,-0.016806372316257957,-0.0011003920943080559,2,8,0,0.109375
native_hr4_vs_interp3,native_hr4,interp3,aesthetic_quality,10,0.6520261108875275,0.5895372688770294,-0.06248884201049805,0.04905175704096992,-0.09084348395466806,-0.030680078417062762,2,8,0,0.109375
native_hr4_vs_interp3,native_hr4,interp3,imaging_quality,10,0.7113480201532811,0.587830295233079,-0.1235177249202022,0.06594646043320106,-0.1656357865639675,-0.08448110547242348,0,10,0,0.001953125
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,subject_consistency,10,0.9718578515574336,0.959808757416904,-0.012049094140529636,0.02116326310934249,-0.02649674461316319,-0.000617414403706799,3,7,0,0.34375
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,background_consistency,10,0.9755722045898437,0.9694430541992187,-0.006129150390625016,0.018350769836615172,-0.018745071411132807,0.0037939453125000024,4,6,0,0.75390625
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,motion_smoothness,10,0.9912263418564838,0.9835787070169206,-0.0076476348395632,0.013276977091002319,-0.016917163829865623,-0.0013531522204772385,2,8,0,0.109375
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,aesthetic_quality,10,0.6520261108875275,0.5923257231712341,-0.05970038771629334,0.0522440365167134,-0.09001493096351623,-0.025836489200592044,2,8,0,0.109375
native_hr4_vs_taa_interp3,native_hr4,taa_interp3,imaging_quality,10,0.7113480201532811,0.5902702242062415,-0.1210777959470396,0.07044196280810178,-0.1659294187581098,-0.07894417570961851,1,9,0,0.021484375
native_hr4_vs_cll3,native_hr4,cll3,subject_consistency,10,0.9718578515574336,0.9627588249742984,-0.009099026583135128,0.016589731968101738,-0.01973898150771854,0.0007242359556257528,3,7,0,0.34375
native_hr4_vs_cll3,native_hr4,cll3,background_consistency,10,0.9755722045898437,0.9721209716796875,-0.0034512329101562766,0.008844579352162204,-0.008678359985351597,0.002285812377929664,2,8,0,0.109375
native_hr4_vs_cll3,native_hr4,cll3,motion_smoothness,10,0.9912263418564838,0.9882898594286806,-0.0029364824278031556,0.008308807644520756,-0.008731843183298074,0.0012174171491197432,6,4,0,0.75390625
native_hr4_vs_cll3,native_hr4,cll3,aesthetic_quality,10,0.6520261108875275,0.650935971736908,-0.0010901391506195068,0.06905969349191385,-0.0400193689763546,0.04373888060450554,4,6,0,0.75390625
native_hr4_vs_cll3,native_hr4,cll3,imaging_quality,10,0.7113480201532811,0.7093904672316563,-0.0019575529216248498,0.0324252845997973,-0.02115716356583586,0.018902975360258093,4,6,0,0.75390625
native_hr4_vs_talh3,native_hr4,talh3,subject_consistency,10,0.9718578515574336,0.9622594356909394,-0.009598415866494181,0.015789926391556484,-0.020095066715963165,-0.00036340206861497083,3,7,0,0.34375
native_hr4_vs_talh3,native_hr4,talh3,background_consistency,10,0.9755722045898437,0.9702603149414063,-0.005311889648437507,0.010581188825981379,-0.011752159118652341,0.001289489746093737,4,6,0,0.75390625
native_hr4_vs_talh3,native_hr4,talh3,motion_smoothness,10,0.9912263418564838,0.9881544678202626,-0.0030718740362212227,0.008091072372861085,-0.008765749800261392,0.0010252882345048956,6,4,0,0.75390625
native_hr4_vs_talh3,native_hr4,talh3,aesthetic_quality,10,0.6520261108875275,0.6491378813982009,-0.002888229489326477,0.061050951727055755,-0.038177824094891545,0.036086327135562896,4,6,0,0.75390625
native_hr4_vs_talh3,native_hr4,talh3,imaging_quality,10,0.7113480201532811,0.7141832258907366,0.0028352057374553706,0.02903079636927806,-0.01453632217925274,0.02107510367381717,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,subject_consistency,10,0.9718578515574336,0.9606014748290181,-0.011256376728415484,0.0184600852569931,-0.022984015896916375,-0.00040476612839849147,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,background_consistency,10,0.9755722045898437,0.97381103515625,-0.0017611694335937567,0.01566002183926916,-0.011390625000000005,0.008067848205566398,5,5,0,1.0
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,motion_smoothness,10,0.9912263418564838,0.9881081700401106,-0.003118171816373172,0.008195633191219177,-0.008867816472314308,0.0010534430618219304,5,5,0,1.0
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,aesthetic_quality,10,0.6520261108875275,0.6314272582530975,-0.020598852634429933,0.054971501413260376,-0.053317445516586306,0.015375412106513964,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_0hr,native_hr4,endpoint_stage2_0hr,imaging_quality,10,0.7113480201532811,0.6880978706736623,-0.023250149479618797,0.03337169919467919,-0.04378542420422596,-0.001934486682326744,2,8,0,0.109375
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,subject_consistency,10,0.9718578515574336,0.9628436663746834,-0.009014185182750212,0.015391737853779227,-0.018752019859850384,0.0003030950073152858,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,background_consistency,10,0.9755722045898437,0.9711453247070312,-0.004426879882812517,0.01150696443409752,-0.01143138122558594,0.002593963623046865,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,motion_smoothness,10,0.9912263418564838,0.988234765406786,-0.0029915764496978637,0.007884932362822897,-0.008553976292623743,0.00112380314158064,6,4,0,0.75390625
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,aesthetic_quality,10,0.6520261108875275,0.6435353517532348,-0.008490759134292602,0.05894573389184457,-0.043305106610059735,0.02989659696817398,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_1hr,native_hr4,endpoint_stage2_1hr,imaging_quality,10,0.7113480201532811,0.7145679982974206,0.0032199781441394127,0.034487732902340154,-0.018027642934116343,0.024669420901639958,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,subject_consistency,10,0.9718578515574336,0.9623762427642941,-0.00948160879313945,0.016323712440165207,-0.01966792299598455,0.0005237638698890636,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,background_consistency,10,0.9755722045898437,0.9734100341796875,-0.0021621704101562832,0.012176894198712472,-0.009232505798339863,0.005794372558593719,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,motion_smoothness,10,0.9912263418564838,0.986833442454914,-0.004392899401569772,0.008858884144643637,-0.010368096484058575,0.0002308187108087112,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,aesthetic_quality,10,0.6520261108875275,0.6519131124019623,-0.00011299848556518554,0.06750290709040746,-0.03794800639152527,0.04614089146256446,4,6,0,0.75390625
native_hr4_vs_endpoint_stage2_2hr,native_hr4,endpoint_stage2_2hr,imaging_quality,10,0.7113480201532811,0.7244976570694535,0.013149636916172335,0.038515753902265575,-0.009778846759560651,0.037590272812784396,5,5,0,1.0
native_hr4_vs_endpoint_stage2_4hr,native_hr4,endpoint_stage2_4hr,subject_consistency,10,0.9718578515574336,0.970298488214612,-0.0015593633428216068,0.012838223361538925,-0.008683498604223119,0.006923940811306223,3,7,0,0.34375
native_hr4_vs_endpoint_stage2_4hr,native_hr4,endpoint_stage2_4hr,background_consistency,10,0.9755722045898437,0.9709249877929688,-0.004647216796875009,0.010591853343342516,-0.01108296966552735,0.001981964111328116,5,5,0,1.0
