family,case,display_name,method,measurement,lr_evaluations,mixed_evaluations,hr_evaluations,total_evaluations,handoff_step,refinement_steps,reschedule_mode,gpu,warmup,repeats,initialization_s,pipeline_mean_s,pipeline_std_s,pipeline_median_s,denoise_mean_s,denoise_std_s,non_denoise_mean_s,init_plus_pipeline_mean_s,peak_memory_gib,speedup_vs_native,latency_reduction_vs_native_pct,quality_metric,quality_value,quality_components,vbench_source
distill4,native_hr4,Native-HR4,native,warm_model_single_video_end_to_end,0,0,4,4,,,canonical,0,1,5,145.4814721122384,42.490728633850814,0.124470826082076,42.549723111093044,37.33326672501862,0.11812581588263336,5.157461908832192,187.97220074608921,50.7607421875,1.0,0.0,vbench_custom_quality5_mean,0.8604061058089141,"{""aesthetic_quality"": 0.6520261108875275, ""background_consistency"": 0.9755722045898437, ""imaging_quality"": 0.7113480201532812, ""motion_smoothness"": 0.991226341856484, ""subject_consistency"": 0.9718578515574336}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,interp2,Interp-D4@2,interp,warm_model_single_video_end_to_end,2,0,2,4,2,,canonical,0,1,5,139.2512942738831,26.350147994235158,0.12447585275404556,26.311776228249073,21.18521337620914,0.09556824445016025,5.1649346180260185,165.60144226811826,50.9560546875,1.6125423144927635,37.98612346401856,vbench_custom_quality5_mean,0.8620994488584651,"{""aesthetic_quality"": 0.674001270532608, ""background_consistency"": 0.9714715576171875, ""imaging_quality"": 0.7216588879338016, ""motion_smoothness"": 0.9843285912252631, ""subject_consistency"": 0.9590369369834661}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,interp3,Interp-D4@3,interp,warm_model_single_video_end_to_end,3,0,1,4,3,,canonical,0,1,5,140.02214903756976,18.331259989365936,0.20542849684915965,18.303777487948537,13.106472053006291,0.08614226736851162,5.224787936359644,158.3534090269357,50.7802734375,2.317938246388951,56.858212182405154,vbench_custom_quality5_mean,0.8179629516158355,"{""aesthetic_quality"": 0.5895372688770294, ""background_consistency"": 0.96936767578125, ""imaging_quality"": 0.5878302952330788, ""motion_smoothness"": 0.9837640092484939, ""subject_consistency"": 0.9593155089393257}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,taa_interp3,TAA+Interp-D4@3,taa_interp,warm_model_single_video_end_to_end,3,0,1,4,3,,canonical,0,1,5,134.56494184955955,20.01486379392445,0.12439496649673325,20.015696734189987,14.785470609366893,0.04537293213245246,5.229393184557557,154.579805643484,51.1826171875,2.1229586706829826,52.89592709413004,vbench_custom_quality5_mean,0.8190852932021038,"{""aesthetic_quality"": 0.5923257231712341, ""background_consistency"": 0.9694430541992187, ""imaging_quality"": 0.5902702242062415, ""motion_smoothness"": 0.9835787070169207, ""subject_consistency"": 0.9598087574169039}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,cll3,CLL-D4@3,cll,warm_model_single_video_end_to_end,3,0,1,4,3,,canonical,0,1,5,135.08253229223192,18.273860475420953,0.15325722576020576,18.227522615343332,13.13572255782783,0.07761397576590584,5.138137917593122,153.35639276765286,50.6845703125,2.3252190576261915,56.99329933150914,vbench_custom_quality5_mean,0.856699219010246,"{""aesthetic_quality"": 0.650935971736908, ""background_consistency"": 0.9721209716796875, ""imaging_quality"": 0.7093904672316562, ""motion_smoothness"": 0.9882898594286808, ""subject_consistency"": 0.9627588249742984}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,talh3,TrajScale-D4@3,talh,warm_model_single_video_end_to_end,3,0,1,4,3,,canonical,0,1,5,134.57729928195477,19.92230615466833,0.03593498882259251,19.942328792065382,14.845191982388496,0.06623577513545778,5.077114172279835,154.49960543662309,50.9697265625,2.132821787998379,53.11375729434549,vbench_custom_quality5_mean,0.8567990651483092,"{""aesthetic_quality"": 0.6491378813982009, ""background_consistency"": 0.9702603149414063, ""imaging_quality"": 0.7141832258907366, ""motion_smoothness"": 0.9881544678202626, ""subject_consistency"": 0.9622594356909395}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,endpoint_stage2_0hr,Endpoint-STAGE2-0HR,endpoint_stage2,warm_model_single_video_end_to_end,4,0,0,4,4,0,canonical,0,1,5,131.81575509347022,10.228248903527856,0.0331156689819566,10.218876156955957,5.002106743305921,0.0116712347579446,5.226142160221935,142.04400399699807,50.6650390625,4.154252505450391,75.92828075115807,vbench_custom_quality5_mean,0.8484091617904277,"{""aesthetic_quality"": 0.6314272582530975, ""background_consistency"": 0.97381103515625, ""imaging_quality"": 0.6880978706736625, ""motion_smoothness"": 0.9881081700401106, ""subject_consistency"": 0.9606014748290181}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,endpoint_stage2_1hr,Endpoint-STAGE2-1HR,endpoint_stage2,warm_model_single_video_end_to_end,4,0,1,5,4,1,canonical,0,1,5,136.64349934086204,19.489926463738083,0.13766038297474786,19.445182405412197,14.331676104292274,0.025326418705345813,5.158250359445811,156.1334258046001,50.9970703125,2.1801379657797475,54.1313432591712,vbench_custom_quality5_mean,0.8560654213078311,"{""aesthetic_quality"": 0.6435353517532348, ""background_consistency"": 0.9711453247070313, ""imaging_quality"": 0.7145679982974207, ""motion_smoothness"": 0.9882347654067859, ""subject_consistency"": 0.9628436663746834}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,endpoint_stage2_2hr,Endpoint-STAGE2-2HR,endpoint_stage2,warm_model_single_video_end_to_end,4,0,2,6,4,2,canonical,0,1,5,134.42378912307322,28.762357054650785,0.11391339785388377,28.803255196660757,23.641892811656,0.054799608147679216,5.120464242994785,163.186146177724,50.8603515625,1.4773034265973064,32.30909899780616,vbench_custom_quality5_mean,0.8598060977740623,"{""aesthetic_quality"": 0.6519131124019623, ""background_consistency"": 0.9734100341796875, ""imaging_quality"": 0.7244976570694536, ""motion_smoothness"": 0.986833442454914, ""subject_consistency"": 0.9623762427642941}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
distill4,endpoint_stage2_4hr,Endpoint-STAGE2-4HR,endpoint_stage2,warm_model_single_video_end_to_end,4,0,4,8,4,4,canonical,0,1,5,135.808343809098,47.44531023465097,0.14199041375299404,47.445596773177385,42.30204757116735,0.10837643324144818,5.14326266348362,183.25365404374898,50.8603515625,0.8955727852490329,-11.660382770779364,vbench_custom_quality5_mean,0.8557287491497508,"{""aesthetic_quality"": 0.6454602539539337, ""background_consistency"": 0.9709249877929688, ""imaging_quality"": 0.7021703619780364, ""motion_smoothness"": 0.989789653809203, ""subject_consistency"": 0.9702984882146118}",/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/metrics/vbench_v1_custom.json
