case,filename,expected,status,size_bytes,sha256,probe_status,path
native_hr4,native_hr4_00_seed9800.mp4,True,valid,1024124,f982340661366c121761d59c8bcf711ad51149a675da042035fcbd6eca446a36,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_00_seed9800.mp4
native_hr4,native_hr4_01_seed9801.mp4,True,valid,1182391,66a89ea41c025744df607ebf9fda1a7f170fbc51317366ac51e5862640dd9c70,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_01_seed9801.mp4
native_hr4,native_hr4_02_seed9802.mp4,True,valid,1367255,ef05637277356495c1f2452180df6919951737d42411e749bccfcd2c74d94dac,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_02_seed9802.mp4
native_hr4,native_hr4_03_seed9803.mp4,True,valid,1955910,a156d4272eec16ad49e4ac710542131d317c7070ff1d42b639a171a6b633bcd9,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_03_seed9803.mp4
native_hr4,native_hr4_04_seed9804.mp4,True,valid,1470002,c4716ed74b173ce20b2366e180880f82ca936b38f338032f4d8a3b2b7078adb2,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_04_seed9804.mp4
native_hr4,native_hr4_05_seed9805.mp4,True,valid,871731,375a3e33191c2bd141f00c93795a4dd7b61baa1805a7a8e407da96a365c4e271,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_05_seed9805.mp4
native_hr4,native_hr4_06_seed9806.mp4,True,valid,1191465,96e99a9cbd8ef7ce6d654c478c5a14e7024d1d8a0d8c2f92742e082bc01a0979,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_06_seed9806.mp4
native_hr4,native_hr4_07_seed9807.mp4,True,valid,2617026,d477bcc83265260db7717a83872c1ce4986baa3a3b5dbb68429a1d79949bf6f5,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_07_seed9807.mp4
native_hr4,native_hr4_08_seed9808.mp4,True,valid,1007917,8ca9fbd6843b25ffdc700c0fb35d5dcba38c44abe6bf781f81e3b476a0a33af6,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_08_seed9808.mp4
native_hr4,native_hr4_09_seed9809.mp4,True,valid,1420228,d61caa4a13f3de9a3d0182e5f1362d51add43085f91d5ab5ad83cb5d0819404c,valid,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_distill4/videos/native_hr4/native_hr4_09_seed9809.mp4
