strength,lora_checkpoint,metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,delta_lora_minus_original_std,lora_wins,original_wins,ties,lora_win_rate,summary_csv
0.5,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,psnr,higher,10,24.20422569839733,25.178377567012532,0.9741518686152034,0.22554892908345994,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p5/metrics/original_lora_teacher_summary.csv
0.5,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,l1,lower,10,0.03329538702964783,0.029162589460611343,-0.004132797569036483,0.001244407713707626,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p5/metrics/original_lora_teacher_summary.csv
0.5,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,mse,lower,10,0.003948599169962108,0.003153523965738714,-0.0007950752042233944,0.0003089030245602711,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p5/metrics/original_lora_teacher_summary.csv
0.5,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,temporal_l1,lower,10,0.0157702692784369,0.01464156568981707,-0.0011287035886198282,0.0007353719155189179,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p5/metrics/original_lora_teacher_summary.csv
0.75,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,psnr,higher,10,24.20422569839733,25.236960574576678,1.032734876179348,0.29051365554574093,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p75/metrics/original_lora_teacher_summary.csv
0.75,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,l1,lower,10,0.03329538702964783,0.0288068313151598,-0.0044885557144880295,0.0016261839507523048,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p75/metrics/original_lora_teacher_summary.csv
0.75,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,mse,lower,10,0.003948599169962108,0.0030998730333521964,-0.0008487261366099119,0.00038939365765609807,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p75/metrics/original_lora_teacher_summary.csv
0.75,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,temporal_l1,lower,10,0.0157702692784369,0.014488260354846716,-0.0012820089235901833,0.0009015626398293418,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_0p75/metrics/original_lora_teacher_summary.csv
1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,psnr,higher,10,24.20422569839733,25.071692234430124,0.8674665360327947,0.33226780816185525,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_1p0/metrics/original_lora_teacher_summary.csv
1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,l1,lower,10,0.03329538702964783,0.029309005290269852,-0.003986381739377975,0.0018369368830543503,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_1p0/metrics/original_lora_teacher_summary.csv
1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,mse,lower,10,0.003948599169962108,0.0032130950829014184,-0.0007355040870606899,0.00042008683951294616,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_1p0/metrics/original_lora_teacher_summary.csv
1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_14b_cfgdistill_5k_step3/step_0010000.safetensors,temporal_l1,lower,10,0.0157702692784369,0.014591616904363036,-0.0011786523740738631,0.0009621043163219872,10,0,0,1.0,/mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_480p_lora_strength_sweep_360p_368x640_step_0010000/strength_1p0/metrics/original_lora_teacher_summary.csv
