comparison,dimension,items,ratings_per_item,observed_agreement,expected_agreement,fleiss_kappa
lora_with_interp,artifact_cleanliness,10,3,0.26666666666666666,0.3888888888888889,-0.2
lora_with_interp,detail,10,3,0.4,0.3888888888888889,0.018181818181818205
lora_with_interp,overall,10,3,0.3,0.3888888888888889,-0.14545454545454548
lora_with_interp,structure_identity,10,3,0.7333333333333332,0.7622222222222222,-0.12149532710280453
lora_with_interp,temporal_stability,10,3,0.19999999999999998,0.3755555555555556,-0.2811387900355873
lora_with_stage2,artifact_cleanliness,10,3,0.26666666666666666,0.3688888888888889,-0.16197183098591547
lora_with_stage2,detail,10,3,0.7333333333333332,0.7133333333333334,0.06976744186046441
lora_with_stage2,overall,10,3,0.5666666666666667,0.5199999999999999,0.09722222222222236
lora_with_stage2,structure_identity,10,3,0.4333333333333334,0.52,-0.18055555555555544
lora_with_stage2,temporal_stability,10,3,0.3,0.4955555555555555,-0.3876651982378854
stage2_at_base,artifact_cleanliness,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
stage2_at_base,detail,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
stage2_at_base,overall,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
stage2_at_base,structure_identity,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
stage2_at_base,temporal_stability,10,3,0.5666666666666665,0.5933333333333332,-0.06557377049180313
talh_vs_plain_handoff,artifact_cleanliness,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
talh_vs_plain_handoff,detail,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
talh_vs_plain_handoff,overall,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
talh_vs_plain_handoff,structure_identity,10,3,0.9333333333333332,0.9355555555555555,-0.034482758620689835
talh_vs_plain_handoff,temporal_stability,10,3,0.5666666666666665,0.6288888888888889,-0.16766467065868315
