comparison,dimension,preferred_case,votes,total_votes,preference_rate,mean_confidence
lora_with_interp,artifact_cleanliness,step40_base_interp,9,30,0.3,2.6
lora_with_interp,artifact_cleanliness,step40_lora_interp,10,30,0.3333333333333333,2.6
lora_with_interp,artifact_cleanliness,tie,11,30,0.36666666666666664,2.6
lora_with_interp,detail,step40_base_interp,26,30,0.8666666666666667,2.6
lora_with_interp,detail,step40_lora_interp,3,30,0.1,2.6
lora_with_interp,detail,tie,1,30,0.03333333333333333,2.6
lora_with_interp,overall,step40_base_interp,21,30,0.7,2.6
lora_with_interp,overall,step40_lora_interp,3,30,0.1,2.6
lora_with_interp,overall,tie,6,30,0.2,2.6
lora_with_interp,structure_identity,step40_base_interp,7,30,0.23333333333333334,2.6
lora_with_interp,structure_identity,tie,23,30,0.7666666666666667,2.6
lora_with_interp,temporal_stability,step40_base_interp,14,30,0.4666666666666667,2.6
lora_with_interp,temporal_stability,step40_lora_interp,12,30,0.4,2.6
lora_with_interp,temporal_stability,tie,4,30,0.13333333333333333,2.6
lora_with_stage2,artifact_cleanliness,step40_base_stage2,18,30,0.6,2.8666666666666667
lora_with_stage2,artifact_cleanliness,step40_lora_stage2,10,30,0.3333333333333333,2.8666666666666667
lora_with_stage2,artifact_cleanliness,tie,2,30,0.06666666666666667,2.8666666666666667
lora_with_stage2,detail,step40_base_stage2,8,30,0.26666666666666666,2.8666666666666667
lora_with_stage2,detail,step40_lora_stage2,20,30,0.6666666666666666,2.8666666666666667
lora_with_stage2,detail,tie,2,30,0.06666666666666667,2.8666666666666667
lora_with_stage2,overall,step40_base_stage2,12,30,0.4,2.8666666666666667
lora_with_stage2,overall,step40_lora_stage2,13,30,0.43333333333333335,2.8666666666666667
lora_with_stage2,overall,tie,5,30,0.16666666666666666,2.8666666666666667
lora_with_stage2,structure_identity,step40_base_stage2,4,30,0.13333333333333333,2.8666666666666667
lora_with_stage2,structure_identity,step40_lora_stage2,6,30,0.2,2.8666666666666667
lora_with_stage2,structure_identity,tie,20,30,0.6666666666666666,2.8666666666666667
lora_with_stage2,temporal_stability,step40_base_stage2,22,30,0.7333333333333333,2.8666666666666667
lora_with_stage2,temporal_stability,step40_lora_stage2,7,30,0.23333333333333334,2.8666666666666667
lora_with_stage2,temporal_stability,tie,1,30,0.03333333333333333,2.8666666666666667
stage2_at_base,artifact_cleanliness,step40_base_interp,4,30,0.13333333333333333,4.6
stage2_at_base,artifact_cleanliness,step40_base_stage2,26,30,0.8666666666666667,4.6
stage2_at_base,detail,step40_base_stage2,30,30,1.0,4.6
stage2_at_base,overall,step40_base_stage2,30,30,1.0,4.6
stage2_at_base,structure_identity,step40_base_stage2,30,30,1.0,4.6
stage2_at_base,temporal_stability,step40_base_interp,8,30,0.26666666666666666,4.6
stage2_at_base,temporal_stability,step40_base_stage2,22,30,0.7333333333333333,4.6
talh_vs_plain_handoff,artifact_cleanliness,step40_base_interp,4,30,0.13333333333333333,4.7
talh_vs_plain_handoff,artifact_cleanliness,step40_lora_stage2,26,30,0.8666666666666667,4.7
talh_vs_plain_handoff,detail,step40_lora_stage2,30,30,1.0,4.7
talh_vs_plain_handoff,overall,step40_lora_stage2,30,30,1.0,4.7
talh_vs_plain_handoff,structure_identity,step40_lora_stage2,30,30,1.0,4.7
talh_vs_plain_handoff,temporal_stability,step40_base_interp,9,30,0.3,4.7
talh_vs_plain_handoff,temporal_stability,step40_lora_stage2,21,30,0.7,4.7
