comparison,dimension,preferred_case,votes,total_votes,preference_rate,mean_confidence
lora_s0p5_with_stage2,artifact_cleanliness,step40_base_stage2,13,30,0.43333333333333335,3.1666666666666665
lora_s0p5_with_stage2,artifact_cleanliness,step40_lora_s0p5_stage2,7,30,0.23333333333333334,3.1666666666666665
lora_s0p5_with_stage2,artifact_cleanliness,tie,10,30,0.3333333333333333,3.1666666666666665
lora_s0p5_with_stage2,detail,step40_base_stage2,16,30,0.5333333333333333,3.1666666666666665
lora_s0p5_with_stage2,detail,step40_lora_s0p5_stage2,12,30,0.4,3.1666666666666665
lora_s0p5_with_stage2,detail,tie,2,30,0.06666666666666667,3.1666666666666665
lora_s0p5_with_stage2,overall,step40_base_stage2,15,30,0.5,3.1666666666666665
lora_s0p5_with_stage2,overall,step40_lora_s0p5_stage2,9,30,0.3,3.1666666666666665
lora_s0p5_with_stage2,overall,tie,6,30,0.2,3.1666666666666665
lora_s0p5_with_stage2,structure_identity,step40_base_stage2,5,30,0.16666666666666666,3.1666666666666665
lora_s0p5_with_stage2,structure_identity,tie,25,30,0.8333333333333334,3.1666666666666665
lora_s0p5_with_stage2,temporal_stability,step40_base_stage2,21,30,0.7,3.1666666666666665
lora_s0p5_with_stage2,temporal_stability,step40_lora_s0p5_stage2,7,30,0.23333333333333334,3.1666666666666665
lora_s0p5_with_stage2,temporal_stability,tie,2,30,0.06666666666666667,3.1666666666666665
lora_s0p75_with_stage2,artifact_cleanliness,step40_base_stage2,11,30,0.36666666666666664,3.2
lora_s0p75_with_stage2,artifact_cleanliness,step40_lora_s0p75_stage2,9,30,0.3,3.2
lora_s0p75_with_stage2,artifact_cleanliness,tie,10,30,0.3333333333333333,3.2
lora_s0p75_with_stage2,detail,step40_base_stage2,13,30,0.43333333333333335,3.2
lora_s0p75_with_stage2,detail,step40_lora_s0p75_stage2,17,30,0.5666666666666667,3.2
lora_s0p75_with_stage2,overall,step40_base_stage2,11,30,0.36666666666666664,3.2
lora_s0p75_with_stage2,overall,step40_lora_s0p75_stage2,13,30,0.43333333333333335,3.2
lora_s0p75_with_stage2,overall,tie,6,30,0.2,3.2
lora_s0p75_with_stage2,structure_identity,step40_base_stage2,5,30,0.16666666666666666,3.2
lora_s0p75_with_stage2,structure_identity,tie,25,30,0.8333333333333334,3.2
lora_s0p75_with_stage2,temporal_stability,step40_base_stage2,24,30,0.8,3.2
lora_s0p75_with_stage2,temporal_stability,step40_lora_s0p75_stage2,6,30,0.2,3.2
lora_s1_with_stage2,artifact_cleanliness,step40_base_stage2,16,30,0.5333333333333333,3.3666666666666667
lora_s1_with_stage2,artifact_cleanliness,step40_lora_s1_stage2,7,30,0.23333333333333334,3.3666666666666667
lora_s1_with_stage2,artifact_cleanliness,tie,7,30,0.23333333333333334,3.3666666666666667
lora_s1_with_stage2,detail,step40_base_stage2,19,30,0.6333333333333333,3.3666666666666667
lora_s1_with_stage2,detail,step40_lora_s1_stage2,7,30,0.23333333333333334,3.3666666666666667
lora_s1_with_stage2,detail,tie,4,30,0.13333333333333333,3.3666666666666667
lora_s1_with_stage2,overall,step40_base_stage2,21,30,0.7,3.3666666666666667
lora_s1_with_stage2,overall,step40_lora_s1_stage2,5,30,0.16666666666666666,3.3666666666666667
lora_s1_with_stage2,overall,tie,4,30,0.13333333333333333,3.3666666666666667
lora_s1_with_stage2,structure_identity,step40_base_stage2,5,30,0.16666666666666666,3.3666666666666667
lora_s1_with_stage2,structure_identity,tie,25,30,0.8333333333333334,3.3666666666666667
lora_s1_with_stage2,temporal_stability,step40_base_stage2,22,30,0.7333333333333333,3.3666666666666667
lora_s1_with_stage2,temporal_stability,step40_lora_s1_stage2,7,30,0.23333333333333334,3.3666666666666667
lora_s1_with_stage2,temporal_stability,tie,1,30,0.03333333333333333,3.3666666666666667
