comparison,dimension,preferred_case,votes,total_votes,preference_rate,mean_confidence
lora_with_interp,artifact_cleanliness,step45_base_interp,10,30,0.3333333333333333,2.433333333333333
lora_with_interp,artifact_cleanliness,step45_lora_interp,5,30,0.16666666666666666,2.433333333333333
lora_with_interp,artifact_cleanliness,tie,15,30,0.5,2.433333333333333
lora_with_interp,detail,step45_base_interp,15,30,0.5,2.433333333333333
lora_with_interp,detail,step45_lora_interp,5,30,0.16666666666666666,2.433333333333333
lora_with_interp,detail,tie,10,30,0.3333333333333333,2.433333333333333
lora_with_interp,overall,step45_base_interp,10,30,0.3333333333333333,2.433333333333333
lora_with_interp,overall,step45_lora_interp,5,30,0.16666666666666666,2.433333333333333
lora_with_interp,overall,tie,15,30,0.5,2.433333333333333
lora_with_interp,structure_identity,step45_base_interp,1,30,0.03333333333333333,2.433333333333333
lora_with_interp,structure_identity,step45_lora_interp,3,30,0.1,2.433333333333333
lora_with_interp,structure_identity,tie,26,30,0.8666666666666667,2.433333333333333
lora_with_interp,temporal_stability,step45_base_interp,13,30,0.43333333333333335,2.433333333333333
lora_with_interp,temporal_stability,step45_lora_interp,5,30,0.16666666666666666,2.433333333333333
lora_with_interp,temporal_stability,tie,12,30,0.4,2.433333333333333
lora_with_stage2,artifact_cleanliness,step45_base_stage2,14,30,0.4666666666666667,2.8333333333333335
lora_with_stage2,artifact_cleanliness,step45_lora_stage2,6,30,0.2,2.8333333333333335
lora_with_stage2,artifact_cleanliness,tie,10,30,0.3333333333333333,2.8333333333333335
lora_with_stage2,detail,step45_base_stage2,1,30,0.03333333333333333,2.8333333333333335
lora_with_stage2,detail,step45_lora_stage2,25,30,0.8333333333333334,2.8333333333333335
lora_with_stage2,detail,tie,4,30,0.13333333333333333,2.8333333333333335
lora_with_stage2,overall,step45_base_stage2,2,30,0.06666666666666667,2.8333333333333335
lora_with_stage2,overall,step45_lora_stage2,20,30,0.6666666666666666,2.8333333333333335
lora_with_stage2,overall,tie,8,30,0.26666666666666666,2.8333333333333335
lora_with_stage2,structure_identity,step45_base_stage2,2,30,0.06666666666666667,2.8333333333333335
lora_with_stage2,structure_identity,step45_lora_stage2,8,30,0.26666666666666666,2.8333333333333335
lora_with_stage2,structure_identity,tie,20,30,0.6666666666666666,2.8333333333333335
lora_with_stage2,temporal_stability,step45_base_stage2,18,30,0.6,2.8333333333333335
lora_with_stage2,temporal_stability,step45_lora_stage2,1,30,0.03333333333333333,2.8333333333333335
lora_with_stage2,temporal_stability,tie,11,30,0.36666666666666664,2.8333333333333335
stage2_at_base,artifact_cleanliness,step45_base_interp,1,30,0.03333333333333333,4.9
stage2_at_base,artifact_cleanliness,step45_base_stage2,29,30,0.9666666666666667,4.9
stage2_at_base,detail,step45_base_interp,1,30,0.03333333333333333,4.9
stage2_at_base,detail,step45_base_stage2,29,30,0.9666666666666667,4.9
stage2_at_base,overall,step45_base_interp,1,30,0.03333333333333333,4.9
stage2_at_base,overall,step45_base_stage2,29,30,0.9666666666666667,4.9
stage2_at_base,structure_identity,step45_base_interp,1,30,0.03333333333333333,4.9
stage2_at_base,structure_identity,step45_base_stage2,29,30,0.9666666666666667,4.9
stage2_at_base,temporal_stability,step45_base_interp,1,30,0.03333333333333333,4.9
stage2_at_base,temporal_stability,step45_base_stage2,22,30,0.7333333333333333,4.9
stage2_at_base,temporal_stability,tie,7,30,0.23333333333333334,4.9
talh_vs_plain_handoff,artifact_cleanliness,step45_base_interp,1,30,0.03333333333333333,4.9
talh_vs_plain_handoff,artifact_cleanliness,step45_lora_stage2,29,30,0.9666666666666667,4.9
talh_vs_plain_handoff,detail,step45_base_interp,1,30,0.03333333333333333,4.9
talh_vs_plain_handoff,detail,step45_lora_stage2,29,30,0.9666666666666667,4.9
talh_vs_plain_handoff,overall,step45_base_interp,1,30,0.03333333333333333,4.9
talh_vs_plain_handoff,overall,step45_lora_stage2,29,30,0.9666666666666667,4.9
talh_vs_plain_handoff,structure_identity,step45_base_interp,1,30,0.03333333333333333,4.9
talh_vs_plain_handoff,structure_identity,step45_lora_stage2,29,30,0.9666666666666667,4.9
talh_vs_plain_handoff,temporal_stability,step45_base_interp,1,30,0.03333333333333333,4.9
talh_vs_plain_handoff,temporal_stability,step45_lora_stage2,23,30,0.7666666666666667,4.9
talh_vs_plain_handoff,temporal_stability,tie,6,30,0.2,4.9
