comparison,case_a,case_b,metric,samples,a_mean,b_mean,delta_b_minus_a_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,two_sided_sign_test_p
full_hr50_vs_talh40,full_hr50,talh40,subject_consistency,10,0.9613974107801915,0.9271303183212877,-0.03426709245890378,0.03570881874342484,-0.0584420485338196,-0.014917122090235359,1,9,0,0.021484375
full_hr50_vs_talh40,full_hr50,talh40,background_consistency,10,0.9696078491210938,0.9594680786132812,-0.010139770507812507,0.013655722763415711,-0.01838064575195314,-0.001923881530761733,3,7,0,0.34375
full_hr50_vs_talh40,full_hr50,talh40,motion_smoothness,10,0.9847721120386663,0.9797514622597318,-0.005020649778934616,0.013110891642915859,-0.014144042373025566,0.001781590773723779,4,6,0,0.75390625
full_hr50_vs_talh40,full_hr50,talh40,aesthetic_quality,10,0.5949257165193558,0.5945104956626892,-0.00041522085666656494,0.04868344310679217,-0.032236823812127106,0.02779826521873474,6,4,0,0.75390625
full_hr50_vs_talh40,full_hr50,talh40,imaging_quality,10,0.6311151439996413,0.5882910485091033,-0.042824095490538075,0.11643732871213403,-0.11905553756584362,0.027219529707637816,4,6,0,0.75390625
full_hr50_vs_talh45,full_hr50,talh45,subject_consistency,10,0.9613974107801915,0.9235872932523489,-0.03781011752784251,0.03718754377839353,-0.06256543802469969,-0.01690908544883131,1,9,0,0.021484375
full_hr50_vs_talh45,full_hr50,talh45,background_consistency,10,0.9696078491210938,0.9584420776367187,-0.011165771484374976,0.01601944295221203,-0.021457077026367167,-0.00185846710205076,3,7,0,0.34375
full_hr50_vs_talh45,full_hr50,talh45,motion_smoothness,10,0.9847721120386663,0.9795687865326715,-0.005203325505994771,0.012609867725732868,-0.013821096204726371,0.001533626453923938,3,7,0,0.34375
full_hr50_vs_talh45,full_hr50,talh45,aesthetic_quality,10,0.5949257165193558,0.5803168714046478,-0.014608845114707947,0.05403650149420083,-0.05055572383105755,0.015565122961997984,5,5,0,1.0
full_hr50_vs_talh45,full_hr50,talh45,imaging_quality,10,0.6311151439996413,0.5976831292164179,-0.0334320147832235,0.11439482906132482,-0.10599642787538933,0.03585165725401881,4,6,0,0.75390625
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,subject_consistency,10,0.9613974107801915,0.9259450001269579,-0.03545241065323353,0.03398495710695045,-0.05717304389923812,-0.016221594496630135,1,9,0,0.021484375
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,background_consistency,10,0.9696078491210938,0.9545425415039063,-0.015065307617187506,0.01800950214129951,-0.026730056762695315,-0.00430004882812501,3,7,0,0.34375
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,motion_smoothness,10,0.9847721120386663,0.9799784495643283,-0.004793662474338012,0.012745232212201855,-0.013319378431052487,0.0022001455175048546,4,6,0,0.75390625
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,aesthetic_quality,10,0.5949257165193558,0.5710126638412476,-0.023913052678108216,0.05409207624779929,-0.05921979680657386,0.0069098206609487485,3,7,0,0.34375
full_hr50_vs_full_lr50_stage2_1hr,full_hr50,full_lr50_stage2_1hr,imaging_quality,10,0.6311151439996413,0.5731578197126035,-0.0579573242870378,0.11925506031759758,-0.12879678490426813,0.018499684860382556,3,7,0,0.34375
talh45_vs_talh40,talh45,talh40,subject_consistency,10,0.9235872932523489,0.9271303183212877,0.0035430250689387323,0.006041910673054747,0.0002062493665143739,0.007666029499843729,6,4,0,0.75390625
talh45_vs_talh40,talh45,talh40,background_consistency,10,0.9584420776367187,0.9594680786132812,0.001026000976562469,0.009132329934573287,-0.004796882629394552,0.006483787536621055,5,5,0,1.0
talh45_vs_talh40,talh45,talh40,motion_smoothness,10,0.9795687865326715,0.9797514622597318,0.00018267572706015534,0.0008785576715949827,-0.0004083982499268621,0.0006790124480577623,8,2,0,0.109375
talh45_vs_talh40,talh45,talh40,aesthetic_quality,10,0.5803168714046478,0.5945104956626892,0.014193624258041382,0.014901971200844178,0.005838662385940552,0.023991844952106465,8,2,0,0.109375
talh45_vs_talh40,talh45,talh40,imaging_quality,10,0.5976831292164179,0.5882910485091033,-0.00939208070731457,0.01927367906190044,-0.02124334193688852,0.002082681137838499,4,6,0,0.75390625
