comparison,case_a,case_b,metric,samples,a_mean,b_mean,delta_b_minus_a_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,two_sided_sign_test_p
lora_s0p5_with_stage2,step40_base_stage2,step40_lora_s0p5_stage2,subject_consistency,10,0.9258249254897237,0.9268476090207696,0.0010226835310459315,0.003146586973977173,-0.0009689492806792099,0.0029305692585185317,7,3,0,0.34375
lora_s0p5_with_stage2,step40_base_stage2,step40_lora_s0p5_stage2,background_consistency,10,0.958021240234375,0.9596951293945313,0.00167388916015625,0.006667975068997191,-0.001973609924316386,0.006228103637695299,4,6,0,0.75390625
lora_s0p5_with_stage2,step40_base_stage2,step40_lora_s0p5_stage2,motion_smoothness,10,0.9796056060721119,0.9798131264816735,0.00020752040956164563,0.0014621373398628868,-0.0004912470311066552,0.0012441529154527068,4,6,0,0.75390625
lora_s0p5_with_stage2,step40_base_stage2,step40_lora_s0p5_stage2,aesthetic_quality,10,0.5990638643503189,0.5949723273515701,-0.00409153699874878,0.006740044199202589,-0.0082650426030159,6.195858120918223e-05,3,7,0,0.34375
lora_s0p5_with_stage2,step40_base_stage2,step40_lora_s0p5_stage2,imaging_quality,10,0.5822968738461718,0.5867463047592728,0.004449430913101027,0.012358239271722641,-0.002836136488266915,0.012216353852071893,5,5,0,1.0
lora_s0p75_with_stage2,step40_base_stage2,step40_lora_s0p75_stage2,subject_consistency,10,0.9258249254897237,0.9271303183212877,0.0013053928315639673,0.002878391720986856,-0.0005381775004788812,0.002970903366804134,7,3,0,0.34375
lora_s0p75_with_stage2,step40_base_stage2,step40_lora_s0p75_stage2,background_consistency,10,0.958021240234375,0.9594680786132812,0.0014468383789062345,0.007645349095522221,-0.003046638488769562,0.006340522766113253,4,6,0,0.75390625
lora_s0p75_with_stage2,step40_base_stage2,step40_lora_s0p75_stage2,motion_smoothness,10,0.9796056060721119,0.9797514622088151,0.00014585613670324847,0.0014625767825376358,-0.0005789110325249647,0.001172289383238312,3,7,0,0.34375
lora_s0p75_with_stage2,step40_base_stage2,step40_lora_s0p75_stage2,aesthetic_quality,10,0.5990638643503189,0.5945104956626892,-0.0045533686876297,0.0069668957513135815,-0.008877516165375708,-0.0002731558680534389,3,7,0,0.34375
lora_s0p75_with_stage2,step40_base_stage2,step40_lora_s0p75_stage2,imaging_quality,10,0.5822968738461718,0.5882910485091033,0.005994174662931456,0.013485869819401242,-0.002228283322298976,0.014212600961143579,5,5,0,1.0
lora_s1_with_stage2,step40_base_stage2,step40_lora_s1_stage2,subject_consistency,10,0.9258249254897237,0.9254026156291366,-0.0004223098605871112,0.0018407149564815875,-0.0016424745321273692,0.0006275792792439395,6,4,0,0.75390625
lora_s1_with_stage2,step40_base_stage2,step40_lora_s1_stage2,background_consistency,10,0.958021240234375,0.9591842651367187,0.0011630249023437344,0.008408498886214425,-0.0037352294921875044,0.006589660644531226,5,5,0,1.0
lora_s1_with_stage2,step40_base_stage2,step40_lora_s1_stage2,motion_smoothness,10,0.9796056060721119,0.9800124975669131,0.0004068914948012536,0.002123669037108324,-0.0005592426666253796,0.0018769376645333623,3,7,0,0.34375
lora_s1_with_stage2,step40_base_stage2,step40_lora_s1_stage2,aesthetic_quality,10,0.5990638643503189,0.5925155103206634,-0.006548354029655456,0.007877784655325449,-0.011453251764178276,-0.0019100738316774376,2,8,0,0.109375
lora_s1_with_stage2,step40_base_stage2,step40_lora_s1_stage2,imaging_quality,10,0.5822968738461718,0.5835274975623613,0.0012306237161895605,0.012083695861772874,-0.005905772134404114,0.008928832941290803,5,5,0,1.0
