comparison,dimension,items,ratings_per_item,observed_agreement,expected_agreement,fleiss_kappa
lora_s0p5_with_stage2,artifact_cleanliness,10,3,0.26666666666666666,0.35333333333333333,-0.13402061855670103
lora_s0p5_with_stage2,detail,10,3,0.5666666666666665,0.4488888888888889,0.2137096774193546
lora_s0p5_with_stage2,overall,10,3,0.3666666666666667,0.38,-0.02150537634408598
lora_s0p5_with_stage2,structure_identity,10,3,0.7333333333333333,0.7222222222222223,0.039999999999999473
lora_s0p5_with_stage2,temporal_stability,10,3,0.4333333333333334,0.5488888888888889,-0.2561576354679801
lora_s0p75_with_stage2,artifact_cleanliness,10,3,0.4,0.3355555555555555,0.09698996655518406
lora_s0p75_with_stage2,detail,10,3,0.5333333333333333,0.5088888888888888,0.049773755656108684
lora_s0p75_with_stage2,overall,10,3,0.4666666666666666,0.3622222222222222,0.16376306620209052
lora_s0p75_with_stage2,structure_identity,10,3,0.7333333333333333,0.7222222222222223,0.039999999999999473
lora_s0p75_with_stage2,temporal_stability,10,3,0.6666666666666666,0.6800000000000002,-0.0416666666666673
lora_s1_with_stage2,artifact_cleanliness,10,3,0.4,0.39333333333333337,0.010989010989010967
lora_s1_with_stage2,detail,10,3,0.5333333333333332,0.47333333333333333,0.1139240506329112
lora_s1_with_stage2,overall,10,3,0.5999999999999999,0.5355555555555555,0.13875598086124394
lora_s1_with_stage2,structure_identity,10,3,0.7333333333333333,0.7222222222222223,0.039999999999999473
lora_s1_with_stage2,temporal_stability,10,3,0.5,0.5933333333333332,-0.22950819672131095
