comparison,dimension,preferred_case,prompt_majorities,total_prompts,preference_rate,bootstrap_ci_low,bootstrap_ci_high,method_a,method_b,method_a_wins,method_b_wins,prompt_ties,two_sided_sign_test_p
lora_with_interp,artifact_cleanliness,step45_base_interp,2,10,0.2,0.0,0.5,step45_base_interp,step45_lora_interp,2,1,7,1.0
lora_with_interp,artifact_cleanliness,step45_lora_interp,1,10,0.1,0.0,0.3,step45_base_interp,step45_lora_interp,2,1,7,1.0
lora_with_interp,artifact_cleanliness,tie,7,10,0.7,0.4,1.0,step45_base_interp,step45_lora_interp,2,1,7,1.0
lora_with_interp,detail,step45_base_interp,5,10,0.5,0.2,0.8,step45_base_interp,step45_lora_interp,5,1,4,0.21875
lora_with_interp,detail,step45_lora_interp,1,10,0.1,0.0,0.3,step45_base_interp,step45_lora_interp,5,1,4,0.21875
lora_with_interp,detail,tie,4,10,0.4,0.1,0.7,step45_base_interp,step45_lora_interp,5,1,4,0.21875
lora_with_interp,overall,step45_base_interp,3,10,0.3,0.0,0.6,step45_base_interp,step45_lora_interp,3,1,6,0.625
lora_with_interp,overall,step45_lora_interp,1,10,0.1,0.0,0.3,step45_base_interp,step45_lora_interp,3,1,6,0.625
lora_with_interp,overall,tie,6,10,0.6,0.3,0.9,step45_base_interp,step45_lora_interp,3,1,6,0.625
lora_with_interp,structure_identity,step45_base_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_interp,0,0,10,1.0
lora_with_interp,structure_identity,step45_lora_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_interp,0,0,10,1.0
lora_with_interp,structure_identity,tie,10,10,1.0,1.0,1.0,step45_base_interp,step45_lora_interp,0,0,10,1.0
lora_with_interp,temporal_stability,step45_base_interp,4,10,0.4,0.1,0.7,step45_base_interp,step45_lora_interp,4,0,6,0.125
lora_with_interp,temporal_stability,step45_lora_interp,0,10,0.0,0.0,0.0,step45_base_interp,step45_lora_interp,4,0,6,0.125
lora_with_interp,temporal_stability,tie,6,10,0.6,0.3,0.9,step45_base_interp,step45_lora_interp,4,0,6,0.125
lora_with_stage2,artifact_cleanliness,step45_base_stage2,5,10,0.5,0.2,0.8,step45_base_stage2,step45_lora_stage2,5,1,4,0.21875
lora_with_stage2,artifact_cleanliness,step45_lora_stage2,1,10,0.1,0.0,0.3,step45_base_stage2,step45_lora_stage2,5,1,4,0.21875
lora_with_stage2,artifact_cleanliness,tie,4,10,0.4,0.1,0.7,step45_base_stage2,step45_lora_stage2,5,1,4,0.21875
lora_with_stage2,detail,step45_base_stage2,0,10,0.0,0.0,0.0,step45_base_stage2,step45_lora_stage2,0,9,1,0.00390625
lora_with_stage2,detail,step45_lora_stage2,9,10,0.9,0.7,1.0,step45_base_stage2,step45_lora_stage2,0,9,1,0.00390625
lora_with_stage2,detail,tie,1,10,0.1,0.0,0.3,step45_base_stage2,step45_lora_stage2,0,9,1,0.00390625
lora_with_stage2,overall,step45_base_stage2,0,10,0.0,0.0,0.0,step45_base_stage2,step45_lora_stage2,0,6,4,0.03125
lora_with_stage2,overall,step45_lora_stage2,6,10,0.6,0.3,0.9,step45_base_stage2,step45_lora_stage2,0,6,4,0.03125
lora_with_stage2,overall,tie,4,10,0.4,0.1,0.7,step45_base_stage2,step45_lora_stage2,0,6,4,0.03125
lora_with_stage2,structure_identity,step45_base_stage2,0,10,0.0,0.0,0.0,step45_base_stage2,step45_lora_stage2,0,1,9,1.0
lora_with_stage2,structure_identity,step45_lora_stage2,1,10,0.1,0.0,0.3,step45_base_stage2,step45_lora_stage2,0,1,9,1.0
lora_with_stage2,structure_identity,tie,9,10,0.9,0.7,1.0,step45_base_stage2,step45_lora_stage2,0,1,9,1.0
lora_with_stage2,temporal_stability,step45_base_stage2,8,10,0.8,0.5,1.0,step45_base_stage2,step45_lora_stage2,8,0,2,0.0078125
lora_with_stage2,temporal_stability,step45_lora_stage2,0,10,0.0,0.0,0.0,step45_base_stage2,step45_lora_stage2,8,0,2,0.0078125
