id,group,status,evidence,raw_status
wan50_stage2_checkpoint,prereq,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_clean_368x640_720x1248_stage2_lmdb/latest.pt,
wan50_stage2_480_checkpoint,prereq,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_clean_480p720p_stage2_lmdb/latest.pt,
wan50_clean_lmdb,prereq,complete,16/1 /mnt/afs_2/houze/wanUpsampler/data/changing_resolution/lmdb_480p720p_1k/**/data.mdb,
wan50_lora40_lmdb,data,complete,12/1 /mnt/afs_2/houze/wanUpsampler/data/changing_resolution/lmdb_tail_skip_lora_step40_to_step50/**/data.mdb,
wan50_lora40_checkpoint,train,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_step40_to_step50_temporal/latest.safetensors,
wan50_lora45_checkpoint,prereq,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_step45_to_step50/latest.safetensors,
distill_raw_5k,prereq,complete,5000/5000 /mnt/afs_2/houze/wanUpsampler/data/changing_resolution_distill/raw_wan21_14b_cfgdistill_720p_5k/**/*.mp4,
distill_stage2_lmdb,data,complete,50/1 /mnt/afs_2/houze/wanUpsampler/data/changing_resolution_distill/lmdb_clean_368x640_720x1248_14b_cfgdistill_5k/**/data.mdb,
distill_stage2_checkpoint,train,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_clean_368x640_720x1248_stage2_14b_cfgdistill_5k_lmdb/latest.pt,
distill_lora3_lmdb,data,not_required,superseded by validated 480p-LoRA transfer route; 0/1 /mnt/afs_2/houze/wanUpsampler/data/changing_resolution_distill/lmdb_last_step_skip_lora_368x640_14b_cfgdistill_5k_step3/**/data.mdb,missing
distill_480lora_transfer_sweep,ablation,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/distill_480p_lora_transfer_368p/transfer_sweep_summary.csv,
distill_lora3_checkpoint,train,not_required,superseded by validated 480p-LoRA transfer route; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_last_step_skip_lora_368x640_14b_cfgdistill_5k_step3/latest.safetensors,missing
stage2_operator_480p_metrics,operator,complete,2/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_operator_compare_stage2/metrics_val.jsonl OR /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_operator_compare_stage2/part_*/metrics_val_*.jsonl,
stage2_operator_480p,operator,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_operator_compare_stage2/tables/summary_val.json,
stage2_operator_368p,operator,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/operator_368p/tables/summary_val.json,
wan50_endpoint_step45,endpoint,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_clean_pred_compare_360p_368x640/metrics/original_lora_teacher_summary.csv,
wan50_handoff_sweep,ablation,complete,210/50 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_clean_360p_stage2_three_way_step_sweep/compare/*.mp4,
wan50_factorial,factorial,complete,80/80 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/videos/*/*.mp4,
wan50_factorial_reuse_source,reuse,complete,10/10 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_stage2_four_way_360p/videos/lora45_stage2/*.mp4,
distill_factorial,factorial,missing,0/40 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/videos/*/*.mp4,
distill_factorial_reuse_source,reuse,missing,0/20 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_distill_stage2_four_way_368x640_720x1248/videos/*3_stage2_hr4/*.mp4,
legacy_quality_efficiency,efficiency,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_time_compare/time_summary.csv,
wan50_lora_strength,ablation,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_tail_skip_lora_strength_sweep_360p_368x640/metrics/strength_sweep_summary.csv,
distill_checkpoint_selection,ablation,complete,1/1 /mnt/afs_2/houze/wanUpsampler/outputs/eval_lora_ckpt_sweep_480p/checkpoint_metric_summary.csv,
distill_renoise_ablation,ablation,missing,0/2 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/ablation_distill_renoise/videos/*.mp4,
direct_stage3_compare,baseline,complete,26/10 /mnt/afs_2/houze/wanUpsampler/outputs/changing_resolution_stage3_three_model_compare/compare/*.mp4,
lora_architecture_loss_ablation,ablation,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/ablations/lora_architecture_loss.csv,
stage2_architecture_loss_ablation,ablation,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/ablations/stage2_architecture_loss.csv,
quality_efficiency_spec,efficiency,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/benchmark_spec.json,
peak_memory_and_loading_overhead,efficiency,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/efficiency/quality_efficiency.csv,
generalization_videos,generalization,missing,0/80 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_wan50/videos/*/*.mp4; 0/80 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_distill4/videos/*/*.mp4,
generalization_vbench,generalization,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_wan50/metrics/vbench_v1_custom.json; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_distill4/metrics/vbench_v1_custom.json,
generalization_review_package,generalization,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_wan50/review/human_ratings.csv; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/factorial_distill4/review/human_ratings.csv,
generalization_and_failures,generalization,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/generalization/summary.csv,
vbench_factorial_inputs,metrics,missing,0/8 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench_inputs/*/prompt_map.json; 0/4 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench_inputs/*/prompt_map.json,
vbench_factorials,metrics,missing,0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_wan50/metrics/vbench*.json; 0/1 /mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/factorial_distill4/metrics/vbench*.json,
