strength,case_name,metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,delta_lora_minus_original_std,lora_wins,original_wins,ties,lora_win_rate
0.5,lora_45_s0p5,psnr,higher,10,27.35277205973334,28.162762180413136,0.8099901206797956,0.70745430119675,8,2,0,0.8
0.5,lora_45_s0p5,l1,lower,10,0.02363443309441209,0.023581605032086374,-5.2828062325716016e-05,0.004467714827085475,4,6,0,0.4
0.5,lora_45_s0p5,mse,lower,10,0.002900327916722745,0.0021026547416113316,-0.000797673175111413,0.0014166108033547187,8,2,0,0.8
0.5,lora_45_s0p5,temporal_l1,lower,10,0.022466278495267035,0.0198376277461648,-0.002628650749102235,0.004973731094651511,8,2,0,0.8
0.75,lora_45_s0p75,psnr,higher,10,27.35277205973334,29.578012452621824,2.225240392888483,0.5350132685547266,10,0,0,1.0
0.75,lora_45_s0p75,l1,lower,10,0.02363443309441209,0.018663623742759226,-0.004970809351652861,0.004828299759226527,10,0,0,1.0
0.75,lora_45_s0p75,mse,lower,10,0.002900327916722745,0.0016012491207220592,-0.0012990787960006855,0.0017247405091984124,10,0,0,1.0
0.75,lora_45_s0p75,temporal_l1,lower,10,0.022466278495267035,0.017695121187716722,-0.0047711573075503114,0.006165513245760623,10,0,0,1.0
1.0,lora_45_s1,psnr,higher,10,27.35277205973334,28.20103193371004,0.8482598739767002,0.8926988500280284,7,3,0,0.7
1.0,lora_45_s1,l1,lower,10,0.02363443309441209,0.02368893139064312,5.4498296231031416e-05,0.005634002428435388,3,7,0,0.3
1.0,lora_45_s1,mse,lower,10,0.002900327916722745,0.0020198252343107013,-0.0008805026824120432,0.0016729905942052146,7,3,0,0.7
1.0,lora_45_s1,temporal_l1,lower,10,0.022466278495267035,0.020025344891473652,-0.0024409336037933826,0.006054335380650819,6,4,0,0.6
