strength,case_name,metric,better,samples,original_mean,lora_mean,delta_lora_minus_original_mean,delta_lora_minus_original_std,lora_wins,original_wins,ties,lora_win_rate
0.5,lora_40_s0p5,psnr,higher,10,24.728349884933504,25.61077449038293,0.8824246054494239,0.7073310395869001,8,2,0,0.8
0.5,lora_40_s0p5,l1,lower,10,0.03215474151074886,0.03203336820006371,-0.00012137331068515778,0.006704022489389209,3,7,0,0.3
0.5,lora_40_s0p5,mse,lower,10,0.005184658744838089,0.0037129769916646183,-0.0014716817531734705,0.0024903233382068545,8,2,0,0.8
0.5,lora_40_s0p5,temporal_l1,lower,10,0.028600177308544517,0.02523951530456543,-0.003360662003979087,0.006943954680034655,7,3,0,0.7
0.75,lora_40_s0p75,psnr,higher,10,24.728349884933504,27.282848056199953,2.554498171266448,0.46178083900509687,10,0,0,1.0
0.75,lora_40_s0p75,l1,lower,10,0.03215474151074886,0.02385315075516701,-0.008301590755581855,0.006902621017505096,10,0,0,1.0
0.75,lora_40_s0p75,mse,lower,10,0.005184658744838089,0.0027829348429804666,-0.002401723901857622,0.0028917323141746712,10,0,0,1.0
0.75,lora_40_s0p75,temporal_l1,lower,10,0.028600177308544517,0.021895124483853577,-0.006705052824690938,0.007971838875884402,10,0,0,1.0
1.0,lora_40_s1,psnr,higher,10,24.728349884933504,25.901715246960126,1.1733653620266211,0.8019431733494388,9,1,0,0.9
1.0,lora_40_s1,l1,lower,10,0.03215474151074886,0.03144476879388094,-0.0007099727168679238,0.008088135590133298,5,5,0,0.5
1.0,lora_40_s1,mse,lower,10,0.005184658744838089,0.0034188668825663624,-0.001765791862271726,0.0028996071829225666,9,1,0,0.9
1.0,lora_40_s1,temporal_l1,lower,10,0.028600177308544517,0.025098227616399526,-0.00350194969214499,0.00826588641557197,6,4,0,0.6
