family,case,phase,repeat,elapsed_s,peak_memory_gib
wan50,full_hr50,warmup,0,255.6013917736709,26.1728515625
wan50,full_hr50,measured,0,253.49491623602808,26.1728515625
wan50,full_hr50,measured,1,255.43621053174138,26.1728515625
wan50,full_hr50,measured,2,251.94424734450877,26.1728515625
wan50,full_hr50,measured,3,251.5294867232442,26.1728515625
wan50,full_hr50,measured,4,253.08109931275249,26.1728515625
wan50,talh40,warmup,0,138.06024374999106,26.2548828125
wan50,talh40,measured,0,138.678957156837,26.2548828125
wan50,talh40,measured,1,138.82330761291087,26.2548828125
wan50,talh40,measured,2,137.614961264655,26.2548828125
wan50,talh40,measured,3,138.58604905754328,26.2548828125
wan50,talh40,measured,4,138.09122790396214,26.2548828125
wan50,talh45,warmup,0,118.54990247264504,25.9814453125
wan50,talh45,measured,0,116.61249454319477,25.9814453125
wan50,talh45,measured,1,114.89234406873584,25.9814453125
wan50,talh45,measured,2,113.01420532912016,25.9814453125
wan50,talh45,measured,3,113.0544356610626,25.9814453125
wan50,talh45,measured,4,113.74433705955744,25.9814453125
wan50,full_lr50_stage2_1hr,warmup,0,90.37762369960546,26.4072265625
wan50,full_lr50_stage2_1hr,measured,0,91.47770735993981,26.4072265625
wan50,full_lr50_stage2_1hr,measured,1,86.25415861047804,26.4072265625
wan50,full_lr50_stage2_1hr,measured,2,84.86204932630062,26.4072265625
wan50,full_lr50_stage2_1hr,measured,3,84.93704684823751,26.4072265625
wan50,full_lr50_stage2_1hr,measured,4,84.7400071322918,26.4072265625
